marvelgifs 151136383083 "2016-09-30 07:03:29 GMT" http://marvelgifs.tumblr.com/post/151136383083/luke-cage-is-now-available-to-stream-on-netflix  True text
marvelgifs 129882261518 "2015-09-26 01:15:55 GMT" http://marvelgifs.tumblr.com/post/129882261518/marvelmovies-is-now-marvelgifs "marvelgifs:  We know this is a pretty big change after two whole years with the marvelmovies URL. The reason behind this change is that we have recently decided to branch out. Some of you may have noticed that recently, we have been posting things outside of the marvel cinematic universe. We felt restricted with Marvel Movies so we have decided to change that. There will be a lot more television posts on our blog now, along with our usual film, edits, behind the scenes, and cast posts. We will still be your source for everything Marvel movies related, we will now just incorporate a lot more. If you have any questions about our URL change, feel free to ask us! Thank you for reading this, and thank you for following us.  (on a side note: we will continue to track #marvelmovies along with #marvelgifs if you guys would like to tag us in your posts) " False text
marvelgifs 129689609593 "2015-09-23 04:17:52 GMT" http://marvelgifs.tumblr.com/post/129689609593/marvelmovies-is-now-marvelgifs "marvelgifs:  We know this is a pretty big change after two whole years with the marvelmovies URL. The reason behind this change is that we have recently decided to branch out. Some of you may have noticed that recently, we have been posting things outside of the marvel cinematic universe. We felt restricted with Marvel Movies so we have decided to change that. There will be a lot more television posts on our blog now, along with our usual film, edits, behind the scenes, and cast posts. We will still be your source for everything Marvel movies related, we will now just incorporate a lot more. If you have any questions about our URL change, feel free to ask us! Thank you for reading this, and thank you for following us.  (on a side note: we will continue to track #marvelmovies along with #marvelgifs if you guys would like to tag us in your posts) " False text
marvelgifs 129605648433 "2015-09-22 00:53:47 GMT" http://marvelgifs.tumblr.com/post/129605648433/marvelmovies-is-now-marvelgifs "We know this is a pretty big change after two whole years with the marvelmovies URL.The reason behind this change is that we have recently decided to branch out. Some of you may have noticed that recently, we have been posting things outside of the marvel cinematic universe. We felt restricted with Marvel Movies so we have decided to change that.There will be a lot more television posts on our blog now, along with our usual film, edits, behind the scenes, and cast posts. We will still be your source for everything Marvel movies related, we will now just incorporate a lot more.If you have any questions about our URL change, feel free to ask us! Thank you for reading this, and thank you for following us. (on a side note: we will continue to track #marvelmovies along with #marvelgifs if you guys would like to tag us in your posts)" True text
marvelgifs 129237539778 "2015-09-16 21:24:02 GMT" http://marvelgifs.tumblr.com/post/129237539778/captain-america-civil-war-footage-will-be-shown "According to CNN Philippines, the news was confirmed by Rita Magnus, general manager of Universe Events and Entertainment, which is organising the convention at the World Trade Center in Pasay. It is also reported that Paul Bettany, who made his appearance as The Vision in Avengers: Age Of Ultron, will attend the convention.Magnus told CNN Philippines, “What we’re doing is an exclusive screening of never-seen scenes from Captain America: Civil War and we’ll have Paul Bettany with a panel after that… so it kind of encompasses the new Marvel movie.”[source]" True text
marvelgifs 128825970118 "2015-09-11 04:28:29 GMT" http://marvelgifs.tumblr.com/post/128825970118/elizabeth-olsen-confirms-that-baron-zemo-played "“Brühl is an incredible actor and he’s playing the main villain in it,“ she assured. ""And he’s incredible! It’s a movie about people as opposed to robots this time. So it’s darker and it’s allowed to be darker because it gets more in the mindset of humans rather than machines.” ▬ full article ▬" True text
marvelgifs 128824844703 "2015-09-11 04:08:45 GMT" http://marvelgifs.tumblr.com/post/128824844703/hulk-removed-from-captain-america-civil-war "  “The reason is too great to be revealed in this movie,” he [Mark Ruffalo] said, in comments translated from the original Italian by Comingsoon.net. “I was in the script, but then they removed my character. They don’t want to reveal where is he and why. I don’t even know if Hulk will be back soon.” […]   Ruffalo is likely to return for the next Avengers movies, Infinity War Part I and Part II in 2018 and 2019, and might also turn up in other Marvel films – though Guardians of the Galaxy director James Gunn has said he is not set to include the Hulk in the team of cosmic misfits led by Chris Pratt’s Star Lord any time soon.  ▬ read the full article here ▬" True text
marvelgifs 126773541053 "2015-08-15 21:05:33 GMT" http://marvelgifs.tumblr.com/post/126773541053/first-captain-america-civil-war-footage-revealed "“The footage opens with Captain America, Black Widow, and Falcon dealing with Crossbones as the villain attempts to blow up a truck. During the fight, Crossbones tosses a magnetic explosive at Cap’s shield, and the hero throws it into the air so that the explosion avoids the crowd.   Crossbones removes his mask and reveals his scarred face, turning to Cap and saying, “He remembered you, you know. Your little pal Bucky.” The footage then cut to the scene from the credits of Ant-Man, where Cap and Falcon are talking to Bucky. Bucky tells Cap that he remembers his mom’s name was Sarah, and that he used to stuff newspapers in his shoes. Cap smiles, knowing that some trace of his old friend is still in there. We then see General Ross (William Hurt, reprising his role from Edward Norton’s Incredible Hulk) telling Cap how the country owes him an impossible debt, but that for some he’s not a hero now but a vigilante. Cut to shots of Cap and Tony Stark talking about what comes next. Tony talks about how they’re operating with oversight so how does that make them different from villains? “That’s what this is about to you? Protection?” says Cap. While continuing to argue, Iron Man tells Cap, “Sometimes I want to punch you in your perfect teeth.” The footage then rolls into quick shots of the heroes delivering some pretty great lines. “In this job, you try to save everybody you can. Sometimes that doesn’t mean everybody,” say a stoic Captain America. We see a quick shot of Black Panther, but no sign of Spider-Man. Black Widow and Hawkeye, caught on opposite sides of the Civil War, are about to fight. “We’re still friends right?” Black Widow asks. “Depends on how hard you hit me,” Hawkeye replies.The footage ended with Hawkeye opening a van, revealing Paul Rudd’s Ant-Man. He’s absolutely starstruck by Captain America. He’s shaking as he meets him, and fumbles the greeting. “You know a lot of super people, so thanks for thinking of me.”[synopsis found on IGN]" True text
marvelgifs 122259814623 "2015-06-23 16:14:37 GMT" http://marvelgifs.tumblr.com/post/122259814623/official-tom-holland-to-play-spider-man-in-the [source] True text
marvelgifs 119053516603 "2015-05-15 21:18:01 GMT" http://marvelgifs.tumblr.com/post/119053516603/avengers-age-of-ultron-is-marvels-third-film-to "(and in only 24 days after global release)" True text
marvelgifs 161820832753 "2017-06-14 18:07:41 GMT" http://marvelgifs.tumblr.com/post/161820832753/jessica-chastain-in-talks-to-play-villain-in "Longtime X-Men steward Simon Kinberg is writing and due to make his directorial debut with the tentpole, which is aiming to retell the defining Dark Phoenix storyline from the early 1980s comic book.Sophie Turner is reprising her role as the X-Men heroine Jean Grey, aka Phoenix, a telepath who, in the comics, saw her powers become amplified to the Nth degree when she becomes imbued by a cosmic energy called the Phoenix Force. It eventually overtook her personality and made her bad, necessitating the X-Men to stop her.The storyline was crudely adapted in 2006’s X-Men: The Last Stand, which was critically maligned and rejected by fans. Kinberg and co. are looking to redeem that effort with their own take that sources say will hew closer to the classic story by Chris Claremont and John Byrne.If a deal makes, sources say Chastain would play Lilandra, the empress of an alien empire called the Shi’ar, who leads the quest to imprison and execute Dark Phoenix, leading her into conflict with the X-Men." True link
marvelgifs 161026949023 "2017-05-24 17:35:54 GMT" http://marvelgifs.tumblr.com/post/161026949023/deadpool-2-jack-kesy-to-play-villain "“The Strain” star Jack Kesy has joined Ryan Reynolds and Josh Brolin in “Deadpool 2” in an unspecified villainous role.Reynolds will return in the sequel as the foul-mouthed superhero with Brolin recently having signed on as Cable. “Deadpool 2” is in pre-production with shooting expected to start in June.Reynolds is also a producer on the films with “Deadpool” writers Rhett Reese and Paul Wernick returning along with Drew Goddard assisting. “John Wick” co-director David Leitch came on board to lead “Deadpool 2” last fall after Tim Miller dropped out due to creative differences with Reynolds.The superhero sequel has also cast “Atlanta” breakout Zazie Beetz as the mutant mercenary Domino. Leslie Uggams will return as Blind Al, Deadpool’s roommate.“Deadpool” gave Fox its biggest hit of 2016 after opening on Valentine’s Day to a surprisingly strong $782.6 million worldwide, supplanting “The Matrix Reloaded” to become the highest-grossing R-rated film in history. Fox announced last month that it had given “Deadpool 2” a prime summer release date of June 1, 2018.Kesy plays Gabriel Bolivar in “The Strain,” a vampire acolyte and a rock star with an appetite for recreational drugs. He also has credits on “Baywatch” and the upcoming “Horse Soldiers.”Kesy is repped by Paradigm. The news was first reported by Deadline Hollywood." True link
marvelgifs 160845801738 "2017-05-19 18:41:52 GMT" http://marvelgifs.tumblr.com/post/160845801738/tom-hardy-starring-in-venom-director-found "Sony has announced that Tom Hardy has signed on to star as Eddie Brock in Venom. The project will be directed by Ruben Fleischer, who previously directed Zombieland and was in the mix for Suicide Squad 2. With both the star and director attached, the project looks to be in good position to move forward and lead Sony’s separate superhero cinematic universe." True link
marvelgifs 159867953098 "2017-04-22 17:25:12 GMT" http://marvelgifs.tumblr.com/post/159867953098/new-mutants-deadpool-2-and-x-men-dark-phoenix "  Fox is moving full steam ahead with their X-Men universe and have now confirmed release dates for three movies in 2018.  New Mutants will be the first film out the gate with an April 13th release, followed by Deadpool 2 on June 1st, and concluded with Dark Phoenix on November 2nd. This will mark the first time Fox has released three X-Men titles in the same calendar year.  " True link
marvelgifs 159723659633 "2017-04-18 18:32:59 GMT" http://marvelgifs.tumblr.com/post/159723659633/guardians-of-the-galaxy-vol-2-has-five "theavengers:[MAY CONTAIN SPOILERS]“… And now with Guardians of the Galaxy 2, writer/director James Gunn is shaking up the formula once more by including five post-credits scenes in total.  Yes indeed, Guardians of the Galaxy, Vol. 2 screened for critics last night at its Hollywood premiere, and as the mostly positive reactions flooded in, so too did the news that the film included four scenes scattered throughout the credits. Gunn has since taken to Twitter to add that it’ll be five scenes in total, as one more post-credits scene is being held back until the film actually hits theaters next month.  While details regarding the film are embargoed until a later date, we can tell you that three of the scenes are goofy, fun short little scenes, while one is a bit more substantial. Moreover, you’ll want to play close attention throughout the (very fun) credits, as you may be able to spot a few surprises.Obviously we don’t know what the fifth after-credits scene is just yet, but it’ll be curious to see what Gunn and Co. are holding back. You’ll remember that the post-credits scene for Guardians of the Galaxy was a tag including Howard the Duck, so Gunn really doubled down this time around." False link
marvelgifs 159497683498 "2017-04-12 18:32:54 GMT" http://marvelgifs.tumblr.com/post/159497683498/josh-brolin-to-play-cable-in-deadpool-2 "  The production has been on the warpath to find the right actor for the role for months, with Michael Shannon almost nabbing the role and Stranger Things star David Harbour on the shortlist. In the end, Brolin emerged as a surprise contender, notching his second Marvel Comics character in the process; the actor plays the villain Thanos in the Marvel Studios movies. Sources say Brolin’s deal is for four movies.     David Leitch is directing the sequel to Fox’s surprise blockbuster, with the Twentieth Century Fox movie heading towards a June production start in Vancouver.  " True link
marvelgifs 158204014303 "2017-03-09 21:44:43 GMT" http://marvelgifs.tumblr.com/post/158204014303/zazie-beetz-deadpool-2-casting-announced-domino "  German-born actress Zazie Beetz has apparently been cast as Domino in Deadpool 2. The actress is probably best known as playing Vanessa (aka Van) in the Donald Glover tv series Atlanta. The Zazie Beetz Deadpool 2 casting was announced by actor/producer Ryan Reynolds on twitter." True link
marvelgifs 154061169288 "2016-12-05 04:06:54 GMT" http://marvelgifs.tumblr.com/post/154061169288/luke-cage-renewed-for-season-2-on-netflix "Sweet Christmas! “Marvel’s Luke Cage” is officially getting a second season.Netflix announced the news on the show’s Twitter and Facebook pages on Sunday, posting a short video that featured a sign in Pop’s Barber Shop reading “Season 2 coming soon.” The posts are also accompanied by Pop’s own motto, which Luke Cage takes to heart in Season 1: “Always forward.”“Luke Cage” is now the third Marvel show to get a second season on the streaming platform. “Daredevil” was first to be renewed for a second season, and has also received the greenlight for a third. “Jessica Jones” was also renewed after its critically acclaimed freshman season.Next up in Netflix’s Marvel universe are “Iron Fist” and the crossover “The Defenders,” which will combine all four superheros that had their own shows on Netflix. A release date for “Luke Cage” Season 2 was not announced on Sunday.Season 1 of “Luke Cage” was well received by critics and fans alike. In her review, Variety‘s Maureen Ryan said, “Nothing is cooler than watching bullets bounce off Luke Cage as he brings the ruckus and schools all the fools.”Mike Colter plays the titular bulletproof superhero in “Luke Cage,” which also starred Rosario Dawson, Mahershala Ali, Simone Missick, Theo Rossi, and Alfre Woodard. Colter will also star in “The Defenders,” along with Charlie Cox, Krysten Ritter, and Finn Jones." True link
marvelgifs 153524655363 "2016-11-22 18:42:43 GMT" http://marvelgifs.tumblr.com/post/153524655363/marvels-kevin-feige-on-spider-mans-future-and "Marvel Studios president Kevin Feige is on one heck of a run. Each of the company’s 14 films over the past eight years has opened in first place at the domestic box office, and they’ve brought in more than $10 billion globally. That success is a boon for Disney CEO Bob Iger, who led the $4 billion acquisition of the comic-book empire Marvel Entertainment in 2009.But it’s Feige who is credited with Marvel’s signature style — a blend of humor, optimism, and spectacle that has attracted legions of fans around the world. And he’s had great success in elevating lesser-known characters, like Iron Man, Captain America, and Doctor Strange, into big-screen brands.Feige spoke with Variety about Marvel’s plans to promote diversity, upcoming projects, and what it is that makes him anxious.How much freedom do you give actors to put their own imprint on characters?They have a lot of freedom to take what has made the characters as popular [as they’ve been] for as long as they’ve appeared in the comics, and evolve it and grow it. Think about what you saw Benedict [Cumberbatch] do in “Doctor Strange” — he embodied that character and made it his own. That’s similar to what Robert Downey Jr. did by molding and shaping and turning [Iron Man] into something even more contemporary and relatable.Would you recast your biggest superheroes with other actors if, say, Robert Downey Jr. or Chris Evans decide they want to move on? Luckily we don’t have to make that decision anytime soon. There are a lot of movies that everyone is signed on for, and we get to enjoy them for a long time. Robert Downey Jr. is Iron Man, and right now I can’t envision anyone else. Chris Evans has embodied Captain America as well as any actor has ever embodied an iconic pop-culture figure like that. I go back to Chris Reeve as Superman as the gold standard, and I think Evans is right there. I couldn’t imagine anybody else.But you also look to history: We have a new Spider-Man right now who was in our “Civil War” film and is in “Spider-Man: Homecoming,” and the audience has embraced it. And you can look to Sherlock Holmes, James Bond, and Batman as characters that last longer than any one actor playing them. There’s a precedent for it in other franchises that suggests it’s possible. But right now I don’t want to think about it and don’t need to think about it.“Spider-Man: Homecoming” is backed by Sony but produced by Marvel. How will that change this version of “Spider-Man”?It takes place inside the cinematic universe that we have built across 14 films. In the previous films, Spider-Man was the only superhero who existed in that world. In the comic books, Spider-Man always existed in a world where the Avengers existed, and Iron Man existed, and the Hulk would run through the streets, and Captain America had been thawed out of the ice. In the film, he’s a young kid who has to be home at curfew so his Aunt May doesn’t get worried, and go to school, and do his homework. That’s in contrast to Tony Stark’s life or Stephen Strange’s.Fox controls the film rights to “The X-Men” and “The Fantastic Four.” Could you partner with them on a movie as you did with Sony?It’s an impossibility at this juncture. We certainly have enough films to keep us busy for a number of lifetimes.There are more comic-book movies being made, with DC trying to develop its own cinematic universe. Are you worried about the competition?What other people are adapting from the comics medium, I watch with as much interest as I do any other movies. Because I’m a fan, and I want to see what other people are doing in the world.I’ve always believed in expanding the definition of what a Marvel Studios movie could be. We try to keep audiences coming back in greater numbers by doing the unexpected and not simply following a pattern or a mold or a formula.There’s a lot of discussion of inclusion in the business. Do you believe Marvel has a role to play in creating opportunities for people of color, women, and other groups?Absolutely. The comics have always been progressive. They’ve showcased all sorts of different cultures and ethnicities. And we want to stay true to that. When you look at “Black Panther” — when you look at “Captain Marvel,” which will be Brie Larson in the title role — it is a very important thing for us to have diversity both in front of the camera and behind the camera.Is finding a female director for “Captain Marvel” a priority? It is. Having a female director at the helm to tell the story of a woman who is also our most powerful hero by far is very important to us.What makes her so powerful?If you had the collector cards of the Marvel characters and you could see the power levels, she would be off the charts compared to anyone that we’ve previously introduced in a film.Why was Brie Larson the right fit?With Captain Marvel, who has powers that approach a level that we haven’t seen before in our films, you need to counter- balance that by finding somebody who is also very human and very relatable and can get into a groove with the audience, where they’re willing to see her fly through the sun and punch a moon away from a spacecraft. At the same time, we need her to land and have relatable flaws.Brie is a person you’re going to want to go on this journey with, just like Benedict or Robert or Chris Pratt.You’ve had a string of hits Do you ever greenlight a film about a character that may be interesting but isn’t well-known, and get seized by anxiety that the audience won’t show up?I feel anxiety about every scene and every character in every movie we’ve ever made. That’s why when you sit down for your first test screening, you’re nauseated. It would be hubris to think people are going to love everything you put in front of them." True link
marvelgifs 153488283748 "2016-11-21 21:44:17 GMT" http://marvelgifs.tumblr.com/post/153488283748/angela-bassett-boards-marvels-black-panther "Academy Award-nominated actress Angela Bassett has joined the cast of Marvel Studios’ “Black Panther.” Bassett, who currently stars in “American Horror Story,” will play Ramonda, mother of T’Challa, aka Black Panther.Directed by Ryan Coogler (“Fruitvale Station,” “Creed”), “Black Panther” stars Chadwick Boseman in the title role alongside Michael B. Jordan, Forest Whitaker, Lupita Nyong’o, Danai Gurira, Daniel Kaluuya, Winston Duke, and Florence Kasumba. The film arrives in theaters on February 16, 2018." True link
marvelgifs 151537208493 "2016-10-09 00:16:35 GMT" http://marvelgifs.tumblr.com/post/151537208493/netflixs-the-punisher-adds-another-daredevil "Netflix’s Iron Fist panel at New York Comic Con on Saturday night quickly became something much more: as the cast of the latestDefenders series made their exit, Punisher actor Jon Bernthal made a surprise appearance to officially announce the start of production onThe Punisher, which kicked off last Monday.“I believe in Frank and his journey, and I’m fascinated by it,” Bernthal said before revealing Deborah Ann Woll will reprise her Daredevil role of Karen Page for the latest spin-off.“When professor [Jeph] Loeb [Marvel TV head] told me we were gonna do a series on The Punisher,” Bernthal continued, “first thing i asked him is would I have the pleasure and the honor to work again with one of the most honest, the most kind, and the most talented actress I’ve ever had the privilege to work with.”Woll then joined her costar on stage, saying Karen’s return was a no-brainer. “What Frank and Karen got to do last year is some of my favorite stuff,” she said.Bernthal first made his appearance as Frank Castle (a.k.a. The Punisher) in Daredevil season 2, where he squared off with the Man With Fear before ultimately helping him fend off The Hand. Now his story will further expand in his own standalone series within theDefenders universe.In addition to Bernthal and Woll, The Punisher will also feature Ebon Moss-Bachrach and Amber Rose Revah, among others." True link
marvelgifs 151536521943 "2016-10-08 23:57:01 GMT" http://marvelgifs.tumblr.com/post/151536521943/marvel-netflix-cast-sigourney-weaver-as "It was a huge bombshell announcement at New York Comic Con this year, Sigourney Weaver is the villain of Marvel & Netflix’s Defenders!During the Marvel Netflix panel at New York Comic-Con 2016, Marvel fans were given a shock when the full cast of The Defenders miniseries event - Jessica Jones (Krysten Ritter), Daredevil (Charlie Cox), Luke Cage (Mike Colter) and Iron Fist (Finn Jones) all took the stage for the very first time. But the surprises didn’t stop there as the panel ended on the reveal of Avatar and Aliens star Sigourney Weaver playing the villain of the series. There was no mention of which Marvel villainess Sigourney is playing. However, the first Defenders teaser - along with the first footage of Iron Fist shown at NYCC - all hint at The Hand being the major threat. So how Weaver’s character relates to both that mystical order of ninjas, and the powerful business characters we’ve met in each Netflix Marvel series - Wilson Fisk, Madam Gao, Mariah Dillard, Jeri Hogarth - remains to be seen. …But we’re sure fans will be speculating like crazy!Daredevil seasons 1 and 2, Jessica Jones season 1, and Luke Cage season 1 are all available on Netflix. Iron Fist will premiere on March 17, 2017. The Defenders expected later in the year. The Punisher does not have a release date yet. " True link
marvelgifs 151536391243 "2016-10-08 23:53:15 GMT" http://marvelgifs.tumblr.com/post/151536391243/forest-whitaker-joins-marvels-black-panther "Forest Whitaker has joined the cast of Marvel’s “Black Panther,” starring Chadwick Boseman.Daniel Kaluuya and Florence Kasumba have also joined the cast.The film, directed by “Creed” helmer Ryan Coogler, also stars Michael B. Jordan, Lupita Nyong’o, and Danai Gurira. Boseman will play T’Challa, the prince of the African nation of Wakanda, who must take over the throne after his father’s murder. Marvel unveiled the character in “Captain America: Civil War” in May before the standalone film bows on Feb. 16, 2018.Whitaker will play the role of Zuri, an elder stateman in Wakanda. Kasumba will reprise her “Captain America: Civil War” role as Ayo, a member of the Dora Milaje. Kaluuya will play T’Challa confidant W’KabiJoe Robert Cole is co-penning the script with Coogler. Kevin Feige is producing the movie.Whitaker has a busy fall schedule ahead of him with Paramount’s “Arrival,” directed by Denis Villeneuve and starring Amy Adams and Jeremy Renner, debuting next month and “Star Wars: Rogue One” opening in December. He was most recently seen in the boxing pic “Southpaw.”He is repped by WME and Brillstein Entertainment." True link
marvelgifs 151329993258 "2016-10-04 10:00:17 GMT" http://marvelgifs.tumblr.com/post/151329993258/marvels-iron-fist-on-netflix-premiere-date "All 13 episodes of “Iron Fist” will hit Netflix worldwide on March 17, 2017.The series stars Finn Jones as billionaire Danny Rand (pictured above), who returns to New York City after being missing for years, trying to reconnect with his past and his family legacy. He fights against criminal forces corrupting the city with his kung-fu mastery and ability to summon the awesome power of the fiery Iron Fist.“Iron Fist” is the fourth of four Marvel live-action adventure series, following “Daredevil,” “Jessica Jones” and “Luke Cage,” each of which are now streaming on Netflix. The four heroes will unite in an upcoming special, “Marvel’s The Defenders.”" True link
marvelgifs 150310644498 "2016-09-12 14:03:13 GMT" http://marvelgifs.tumblr.com/post/150310644498/bryan-singer-confirms-that-mister-sinister-will-be "It’s not difficult to guess who’ll be playing him, as Richard E. Grant was said to have been cast as a “mad scientist” in the film, which lines up nicely with Sinister, a Victorian scientist who allied himself with Apocalypse to turn into an immortal being. Hopefully his make-up job is better than Oscar Isaac’s. “Narcos” actor Boyd Holbrook is also playing a bad guy in the film, with Stephen Merchant, Eriq La Salle, Elise Neal and Elizabeth Rodriguez also in the cast. It’s not that far away, with a March 3, 2017 release date sneaking up, and James Mangold recently hinted on Twitter that we should see some footage soon – perhaps with Fox’s “Miss Peregrine’s Home For Peculiar Children” at the end of the month." True link
