psliterary 162166268443 "2017-06-23 16:15:37 GMT" http://psliterary.tumblr.com/post/162166268443/deal-news-the-night-she-fell-by-christina  True text
psliterary 160837875079 "2017-05-19 13:30:29 GMT" http://psliterary.tumblr.com/post/160837875079/deal-alert-savage-reckoning-by-c-hoyt-caldwell "Savage Reckoning, book one in C. Hoyt Caldwell’s  Backwoods Justice series is currently on sale for just $0.99 across ebook outlets! Grab a copy today: Kindle | Nook | Kobo | ibook" True text
psliterary 160693679745 "2017-05-15 13:00:40 GMT" http://psliterary.tumblr.com/post/160693679745/win-a-copy-of-the-antique-house-murders-by-leslie "Book two in Leslie Nagel’s Oakwood Mystery Series is releasing May 30th!! To celebrate Leslie’s giving away TEN copies! In this irresistible cozy mystery from the author of The Book Club Murders, amateur sleuth Charley Carpenter fights to avenge a crime that hits far too close to home.  Mulbridge House stood, silent and decaying, deep in the woods at the  heart of Oakwood, Ohio, long before the passing of Augusta Mulbridge.  Yet suddenly everyone in town seems to have a stake in its fate: the  greedy heirs, eager to tear it down for a tidy profit; the local  preservationists, determined to maintain it as an historic site; the  angry neighbors, staunchly opposed to the construction of a modern  subdivision. Even Charley Carpenter is forced to admit that her beloved  shop, Old Hat Vintage Fashions, could use an infusion of the estate’s  treasures. The clock is ticking. The wrecking ball is ready to  swing. All that stands between Mulbridge House and oblivion is one final  vote. That, and murder … The trouble begins when Charley  walks into auctioneer Calvin Prescott’s office to find her cherished  family friend crumpled on the floor. Detective Marcus Trenault quickly  connects his death to a string of increasingly violent burglaries  plaguing Oakwood. But when Charley uncovers a link to a massive land  swindle worth millions, not to mention a drug ring operating out of the  manor’s abandoned outbuildings, that theory crumbles faster than  Mulbridge House. Now Charley’s racing to catch a killer before everything falls apart. " True text
psliterary 160497671270 "2017-05-10 01:03:24 GMT" http://psliterary.tumblr.com/post/160497671270/unfuck-tomorrow-morning "unfuckyourhabitat:Wash the dishes in your sink Get your outfit for tomorrow together, including accessories Set up coffee/tea/breakfast Make your lunch Put your keys somewhere obvious Wash your face and brush your teeth Take your medication/set out your meds for the morning Charge your electronics Pour a little cleaner in the toilet bowl (if you don’t have pets or children or sleepwalking adults) Set your alarm Go to bed at a reasonable hour " False text
psliterary 160303764205 "2017-05-04 16:30:35 GMT" http://psliterary.tumblr.com/post/160303764205/the-antique-house-murders-giveaway "Dying to read the next installment in The Oakwood Mystery Series? Author Leslie Nagel is giving away TEN copies on her website! " True text
psliterary 160227218115 "2017-05-02 13:00:44 GMT" http://psliterary.tumblr.com/post/160227218115/happy-book-birthday-to-broken-bay "Today this beauty by Andrea Dunlop is released into the world!Bridesmaids meets Lost in this compelling novella about a destination bachelorette party gone awry from the author of Losing the Light, one of Redbook’s Best Books of 2016.Hannah—knee-deep  in nailing down catering plans and floral arrangements for her upcoming  nuptials—is ready for some R&R. Stealing off to a quiet, secluded  island off the coast of Washington state for good wine and fresh air  with her four best friends seems like the perfect way to spend her  bachelorette weekend.But the island may have other ideas.Halfway  through the trip, the bride-to-be mysteriously disappears, leaving the  bridesmaids confused and increasingly panicked. To make matters worse,  there’s something…amiss about the house they’re staying in. As the  tension rises, personalities clash, secrets spill out, and the girls  begin seeing and hearing things they can’t explain. While Hannah’s  friends desperately try to discover what has happened to her, an ominous  storm rolls in that could trap them on the island indefinitely. Now the  girls who came to celebrate with Hannah begin to wonder, is she going  to make it to the wedding? Is she going to make it home at all?Get it Today: Amazon | B&N | Google Play | KoboMake sure you stop by our Twitter today where author Andrea Dunlop is answering YOUR questions all day! We’ll also be holding a giveaway and sharing teasers so you don’t want to miss it!!" True text
psliterary 160116673396 "2017-04-29 13:00:25 GMT" http://psliterary.tumblr.com/post/160116673396/its-independent-bookstoreday-what-better "It’s Independent #BookstoreDay!! What better excuse do you need to go out and buy a book, or two, or three?! " True text
psliterary 159980256998 "2017-04-25 16:30:27 GMT" http://psliterary.tumblr.com/post/159980256998/releasing-next-week-broken-bay-by-andrea-dunlop "Bridesmaids meets Lost in this compelling novella about a destination bachelorette party gone awry from the author of Losing the Light, one of Redbook’s Best Books of 2016.Hannah—knee-deep  in nailing down catering plans and floral arrangements for her upcoming  nuptials—is ready for some R&R. Stealing off to a quiet, secluded  island off the coast of Washington state for good wine and fresh air  with her four best friends seems like the perfect way to spend her  bachelorette weekend.But the island may have other ideas.Halfway  through the trip, the bride-to-be mysteriously disappears, leaving the  bridesmaids confused and increasingly panicked. To make matters worse,  there’s something…amiss about the house they’re staying in. As the  tension rises, personalities clash, secrets spill out, and the girls  begin seeing and hearing things they can’t explain. While Hannah’s  friends desperately try to discover what has happened to her, an ominous  storm rolls in that could trap them on the island indefinitely. Now the  girls who came to celebrate with Hannah begin to wonder, is she going  to make it to the wedding? Is she going to make it home at all?Pre-order Today: Amazon | B&N | Google Play | Kobo" True text
psliterary 159861486945 "2017-04-22 13:30:26 GMT" http://psliterary.tumblr.com/post/159861486945/read-an-excerpt-from-the-temptation-of-adam "Dave Connis is over at The Book Vortex sharing an exclusive excerpt from his upcoming YA debut, The Temptation of Adam, out November 7th from Sky Pony Press! " True text
psliterary 159793350216 "2017-04-20 16:15:34 GMT" http://psliterary.tumblr.com/post/159793350216/deal-alert-the-book-club-murders-by-leslie-nagel "psliterary: Book one in The Oakwood Mystery Series is currently on sale for just $0.99 across ebook outlets!  Grab a copy today: Kindle | Nook | Kobo | ibook " False text
psliterary 162706446677 "2017-07-07 13:00:32 GMT" http://psliterary.tumblr.com/post/162706446677/deals-brave-enough-by-kati-gardner-acquired-by "I’m so happy this day is finally here.When Kati Gardner  pitched me her novel, I inhaled it immediately. After I turned off my  iPad and stopped crying, I was moved to take on Kati as an author and  represent her work not just because her novel was a stirring  contemporary read, but because I think it’s important for someone like  Kati to be able to tell a story like this one.Kati’s debut, BRAVE ENOUGH, is about a teen ballerina who loses a leg  to cancer… and Kati herself is an amputee and a cancer survivor. The  world is full of books with characters living with disabilities and  disease, written by people who have never experienced the truth of their  fiction.That needs to change.Continue reading at EricSmithRocks.com" True link
psliterary 162667252201 "2017-07-06 13:00:44 GMT" http://psliterary.tumblr.com/post/162667252201/closing-for-submissions-in-august-for-the-rest-of "Hey everyone!If you follow me on the ol’ social media, this shouldn’t be much of a  surprise. But just in case you stumble across this lil’ website while  looking for agents, here it is. I’m closing for queries in August for  the rest of 2017, with the exception of referrals and conference  or contest requests.Why?Well, my darling wife and I are expecting a little one in September.  So it’s going to be a busy last half of 2017 for the Smith household.  And with my adoption anthology coming out in the beginning of September,  and a mini book tour in October,  all while the baby is around… well, I’m going to need to take a  breather, and dedicate my time to my family and current roster of  clients, who are also much like my family. *hearts*" True link
psliterary 162555070533 "2017-07-03 16:45:35 GMT" http://psliterary.tumblr.com/post/162555070533/writing-revising-and-pitching-your-middle-grade "THIS THURSDAY is agent Maria Vicente‘s Writer’s Digest webinar on mastering middle grade! ABOUT THE WEBINARMiddle Grade is one of the most popular, and fastest growing  categories, in the publishing industry. For many, middle grade novels  are childhood favorites that stick with us for decades-whether these  stories are realistic portrayals of life or fantastical escapes from the  mundane. Middle Grade is a competitive market, and it’s a difficult  category to master. There are many expectations surrounding voice,  character, content, and structure that go along with writing middle  grade novels. How can you make your manuscript stand out in the crowded  middle grade market? And how can you catch the attention of a literary  agent with your manuscript?Mastering Middle Grade: Writing, Revising, and Pitching Your Middle  Grade Manuscript covers the most important topics to keep in mind while  writing and revising middle grade novels, as well as the process of  writing a query letter that will effectively pitch your manuscript and  entice literary agents. This webinar includes a live presentation, a  Q&A session, a critique of your query letter and the first 1000  words of your manuscript, and downloadable worksheets that will help you  write, revise, and pitch your manuscript long after the webinar is  over.WHAT YOU’LL LEARN:The common elements of a middle grade novel What the current middle grade market looks like in publishing What the middle grade audience is looking for in a book The appropriate word count for middle grade manuscripts of all genres The common themes in middle grade stories How to write in the elusive middle grade “voice” How to create engaging and diverse middle grade characters The importance of a high concept plot with high stakes conflict What mistakes to avoid in your manuscript’s opening chapter What a query letter is and why you want a literary agent How to craft a successful query letter for your middle grade project The best resources to bookmark as you continue writing, revising, and pitching WHO SHOULD ATTEND?Writers who want to better understand the middle grade category Writers who want to learn about the middle grade publishing market Writers interested in writing compelling, diverse characters for children Writers interested in writing unique, adventurous worlds for children Writers who are ready to revise their middle grade manuscripts Writers who want to write an effective query letter Writers looking for publishing resources Writers who want a professional critique of a query letter and writing sample More details & registration at WritersDigestShop.com" True link
psliterary 162123898044 "2017-06-22 14:00:46 GMT" http://psliterary.tumblr.com/post/162123898044/baked-quinoa-onion-rings-recipe-with-cabernet "Did you know that today is #NationalOnionRingDay? We’re celebrating by cooking up some of Allison Day’s  Baked Quinoa Onion Rings. Yummmm!" True link
psliterary 161834237920 "2017-06-15 01:23:00 GMT" http://psliterary.tumblr.com/post/161834237920/deals-speak-the-ocean-by-rebecca-enzor-acquired "My goodness, I loved pitching around the first book by Rebecca Enzor.Whenever I described this quirky genre-blend-of-a-book to people,  whether I was talking with friends or querying editors, I talked about  it being a mashup of the documentary Blackfish and The Little Mermaid.Everyone I talked to about it agreed… it sounded weird and wonderful.  And that’s exactly what this surprisingly steamy, contemporary-fantasy  novel is. A mashup of genre in a book that’s hard to classify, but with  story that’s gripping and characters that are just so very lovable. It  reminded me of reading Morte by Robert Repino, a book that challenges you to define it, and is unquestionably amazing.And that’s the sort of book Rebecca has written.Read the full announcement at EricSmithRocks.com" True link
psliterary 161619790437 "2017-06-09 13:00:49 GMT" http://psliterary.tumblr.com/post/161619790437/writing-revising-and-pitching-your-middle-grade "Agent Maria Vicente has a Writer’s Digest webinar coming up on July 6th!ABOUT THE WEBINARMiddle Grade is one of the most popular, and fastest growing  categories, in the publishing industry. For many, middle grade novels  are childhood favorites that stick with us for decades-whether these  stories are realistic portrayals of life or fantastical escapes from the  mundane. Middle Grade is a competitive market, and it’s a difficult  category to master. There are many expectations surrounding voice,  character, content, and structure that go along with writing middle  grade novels. How can you make your manuscript stand out in the crowded  middle grade market? And how can you catch the attention of a literary  agent with your manuscript?Mastering Middle Grade: Writing, Revising, and Pitching Your Middle  Grade Manuscript covers the most important topics to keep in mind while  writing and revising middle grade novels, as well as the process of  writing a query letter that will effectively pitch your manuscript and  entice literary agents. This webinar includes a live presentation, a  Q&A session, a critique of your query letter and the first 1000  words of your manuscript, and downloadable worksheets that will help you  write, revise, and pitch your manuscript long after the webinar is  over.WHAT YOU’LL LEARN:The common elements of a middle grade novel What the current middle grade market looks like in publishing What the middle grade audience is looking for in a book The appropriate word count for middle grade manuscripts of all genres The common themes in middle grade stories How to write in the elusive middle grade “voice” How to create engaging and diverse middle grade characters The importance of a high concept plot with high stakes conflict What mistakes to avoid in your manuscript’s opening chapter What a query letter is and why you want a literary agent How to craft a successful query letter for your middle grade project The best resources to bookmark as you continue writing, revising, and pitchingWHO SHOULD ATTEND?Writers who want to better understand the middle grade category Writers who want to learn about the middle grade publishing market Writers interested in writing compelling, diverse characters for children Writers interested in writing unique, adventurous worlds for children Writers who are ready to revise their middle grade manuscripts Writers who want to write an effective query letter Writers looking for publishing resources Writers who want a professional critique of a query letter and writing sampleMore details & registration at WritersDigestShop.com" True link
psliterary 161582533281 "2017-06-08 13:30:20 GMT" http://psliterary.tumblr.com/post/161582533281/the-double-bind-of-the-feminist-bride-a "Author Andrea Dunlop stops by A Practical Wedding to talk about the double bind of the feminist bride.My father sat on the edge of my  soon-to-be-in-laws’ sun-drenched patio looking pensive as the rest of us  gathered round the wedding planner. We were in Yakima at the beautiful  house where we were getting married in a month, nailing down the final  details. Our wedding planner, Michelle, was running the show like the  world’s nicest taskmaster.“Andrea,” my dad summoned me—he’s a big man, a British-born entrepreneur who played rugby in his youth.“Yeah, dad?”“Listen,” he said, “I have some ideas about how we should make our  arrival to the wedding.” Our arrival? My husband I were getting married  at his parents’ house: I would spend the day prepping and drinking  champagne with my bridesmaids in the house, while he had beers with his  groomsmen in the loft about the barn. My father continued, “I was  thinking we should come in a horse and carriage.”At first, I thought he was joking. We were getting married at a home,  I was thirty-four years old, and furthermore, I’m a feminist. I didn’t  have a single princess-y fantasy about my wedding, but the same couldn’t  be said, apparently, for my father.Continue reading at APracticalWedding.com" True link
psliterary 161528642875 "2017-06-07 02:14:42 GMT" http://psliterary.tumblr.com/post/161528642875/deals-sangu-mandannas-spark-of-white-fire "When Sangu Mandanna  first pitched me her novel, I shared the query with some of my  colleagues at P.S. Literary. I even told a few book nerd friends. I was absolutely freaking out. I’d loved Sangu’s debut novel, The Lost Girl, which came out with Balzer + Bray a few years ago. I was such a fan. I’d even blogged about her before.No, seriously, see this blog post from early 2015 over on Barnes & Noble’s YA blog.The response from friends? “Calm down go read the book.” On the agency side of things? My coworker and pal Maria told me to “drop everything and read it.”So I did.Continue reading at EricSmithRocks.com" True link
psliterary 161466031875 "2017-06-05 13:30:19 GMT" http://psliterary.tumblr.com/post/161466031875/were-sisters-and-that-explains-everything "Your sister can be the first person you call with news whether it’s  good or bad or…she can be the last. Of course, there are always sisters  who fall somewhere in between. But wherever you and your sister end up  on the scale of the sister bond, the reasons are often complex and  multi-layered.After all, the sister relationship is one of the longest in your  lifetime. Statistically speaking, women outlive men by five to ten  years, and children outlive parents. So it’s likely your sister will be  the one person who will be with you the longest. She’s also likely to be  the one person who will know you best. She’ll know your strengths and  weaknesses, which buttons to push and when, be your strongest advocate  or your worst enemy.Read Karen’s full guest post at BooksByWomen.org" True link
psliterary 161445135865 "2017-06-04 23:43:28 GMT" http://psliterary.tumblr.com/post/161445135865/get-the-book "unfuckyourhabitat:  Curious what people are saying about the #UfYHBook? Check out some of the reviews: “Unfuck Your Habitat is the perfect housekeeping guide for somebody who is overwhelmed with their mess and can’t figure out how to start—or somebody who is always starting marathon cleaning projects only to watch everything go to hell again.” –Lifehacker “Hoffman’s approach to tidying up is blunt, utilitarian, and […] the epitome of of a moderation diet: Do what you can, when you can, and stop beating yourself up about it.” –Elle  “If squalor has become the default state of your living space, author Rachel Hoffman is going to help you snap out of it.” –Crave Online “[An] accessible guide on how to clean for normal people — people too broke to hire a maid, college students, perfectionists and more.” -Livestrong “This is the only system that has ever worked for me because it feels doable and practical, and like she is appealing to me right where I am. It actually changed my life and my home; I’m serious.” –Book Riot “Who else has scoffed at cleaning books and thought, ‘Yeah, OK’? They just seem unrealistic, and nobody has time for that, anyway. But before you accept that your home will forever be a pigsty, there’s a book out there that speaks to people like you and me. Rachel Hoffman’s Unf*ck Your Habitat: You’re Better Than Your Mess is the cleaning guide that you’ve always needed. It sets totally doable goals while keeping in mind that you have a life.” –POPSUGAR “Unfuck Your Habitat is a practical guide on forming habits by taking small steps, incrementally addressing messiness and personal weaknesses. As you reach your goals every day, and you become a neater and more disciplined person while allowing for natural laziness.” –Quartz “A must-read for people who are terrified by Marie Kondo but intrigued at being able to see their floors again.” -Cory Doctorow “I will forever sing the praises of Rachel Hoffman’s unfussy, no bullsh*t advice―most of it is as applicable to How You Think as How You Clean.” -Kelly Sue DeConnick “Unf*ck Your Habitat has the potential to change your life and to improve your mental outlook in truly beautiful ways. So don’t let the hilarious and sometimes obscene advice fool you - this book is important and it is a good, good thing to have in the world.” -Sara Benincasa " False link
psliterary 161277131646 "2017-05-31 13:00:26 GMT" http://psliterary.tumblr.com/post/161277131646/how-do-literary-agents-approach-diversity-jane "Most people working in the book world would agree that, although strides  have been made to increase diversity, there’s still a long road ahead.  Some publishing companies have imprints devoted to multicultural books  (HarperCollins’ Amistad, Simon & Schuster’s Salaam Reads, Kensington’s Dafina), and others make diversity their primary mission (Lee & Low).  Nearly every established publisher, from the Big Five to independent  presses, has launched some sort of initiative or committee or program  dedicated to diversity. But are these efforts enough? How do  agents—generally considered the gatekeepers to publishing  companies—approach this highly subjective issue? Are they in a position  to increase diversity and equity in publishing? I asked Saba Sulaiman of  Talcott Notch Literary Services and Eric Smith of P.S. Literary. SANGEETA MEHTA: To start, what is your definition of diversity? Do you think that this word is losing its meaning, or is the conversation just getting started?SABA SULAIMAN: I think the conversation has already  started—in fact, author Alisha Rai did a fantastic panel at the RT  convention this year called Diversity 102 which addresses this issue  perfectly (here’s the thread).  Most industry professionals are aware of the need for more diverse  books—I’m ready to talk about how best to combat the lack of diversity  in publishing, both in terms of the books we read and push out, and in  terms of employing more marginalized people in the industry.ERIC SMITH: For me, diversity is about a wide array of  people being represented. And the reason we frequently talk about  publishing having that diversity problem, is because…well, those people  aren’t represented. And it’s tiring. I don’t think we’re losing the  meaning, I think lots of us are just exhausted from having the same  conversations again and again.Read the full interview at JaneFriedman.com" True link
psliterary 161205452585 "2017-05-29 16:30:28 GMT" http://psliterary.tumblr.com/post/161205452585/the-antique-house-murders-interview-with-author "I am so excited to have Leslie Nagel here to answer a few questions  today. Read on for her responses, and be sure to check out the rest of  the blogs on the tour for more reviews of The Antique House Murders, and  even more interviews with Leslie.Do you have any particular writing rituals that you adhere to, or unique methods of overcoming writer’s block?I do a great deal of prewriting. For this reason, I’ve never faced an  honest-to-goodness BLOCK. I have this blank wall that I love covering  with sticky notes and index cards. I build my stories fact by fact,  filling in character traits, interesting words, scene ideas, and so on.  When I’m not sure where to take my characters next, and when they’re  also stubbornly silent on this question, I go to my wall and work my  outline for awhile. I constantly add to, change, throw away, and move  around my notes–anything to keep the story ideas flowing. Even 15  minutes of “wall work” is enough to get me unstuck and moving forward. What do you enjoy doing when you’re not writing?My husband says I’m restless, but I like to call it a desire to keep  busy. I garden, play tennis, walk, read—of course, and cook. I also  spend a lot of time talking to my daughter on the phone. What did we do  before cell phones?Read the full interview at BooksTheThing.com" True link
psliterary 161167823201 "2017-05-28 16:30:30 GMT" http://psliterary.tumblr.com/post/161167823201/featured-author-leslie-nagel " LOVE IT OR HATE IT INTERVIEW WITH LESLIE NAGELA few of your favorite things: Books, my sweet old kitty, afghans, pansies, my collection of coffee mugs, friends that don’t judge.Things you need to throw out: Sweaters and bell bottom slacks from the Reagan administration, all  those freebie glass vases from every flower arrangement I’ve ever  received. Except the square one. That one can stay. Things you need in order to write: SILENCE. And Post-it® notes. And coffee.Things that hamper your writing: Social Media. Sometimes I lock my phone in my car to keep from checking every five minutes. I’m not proud of it.  Things you never want to run out of:  Post-it®  notes. I practically eat them for breakfast. Some women keep lipsticks  and tissues in every purse and bag; I have packs of sticky notes for  jotting ideas, cool names, whatever comes to mind. I use them for every  step of the writing process, particularly revising and editing. When I  outline a new story, I have this ridiculous color coding system, and I  post at least 50 notes across a mirror in my hall bathroom, moving them  and making faces at myself until I get a framework that gets me to the  keyboard. Things you wish you’d never bought:  A Chimenea. That thing was  an absolute albatross. Too heavy to move, it scarred my wood deck, and  it was impossible to arrange seating without incinerating someone. I had  to give it away to get rid of it. Read the full interview at ABlueMillionBooks.com" True link
psliterary 161162914647 "2017-05-28 13:30:19 GMT" http://psliterary.tumblr.com/post/161162914647/5-tips-to-stand-out-in-the-slush-pile " You’ve finished your manuscript.  It’s been edited by a critique partner.  You’ve assembled a pitch. Now what? The next step is securing  literary representation to pitch your project to prospective  publishers. At P.S. Literary we receive approximately 2,000 emails a  month from aspiring authors—so how does a writer get from the slush pile  (what agents call those unsolicited emails) to our client roster?Believe it or not, it’s a series of reasonable steps that separate the rejections from the requests:1. Follow A Simple TemplateA  three-paragraph structure (1: title, word count, genre, hook; 2: an  overview of the plot told in a sales-oriented way like back cover copy;  3: a short author bio focusing on platform) is all you need. But don’t  label or number those paragraphs. Instead, try to make it flow like a  cover letter for a job. Most importantly, remember the goal of a query  letter is to get an agent to request more material, not to tell us your  life story or the entire backstory of your project. Leave us wanting  more, not with glazed eyes from an over-sharing monologue. If it’s too  long I’ve probably stopped reading 25% of the way through. Some agents  ask for the title, word count, and genre at the bottom of a query  letter, but in my opinion essential information should absolutely be at  the top in case the agent doesn’t make it to the end.Read the full article at OpenBook.ca " True link
