brittalundin 161010872928 "2017-05-24 05:00:37 GMT" http://brittalundin.tumblr.com/post/161010872928/reblog-this-if-you-plan-on-going-to-dashcon-2014  True text
brittalundin 160428670280 "2017-05-08 03:00:44 GMT" http://brittalundin.tumblr.com/post/160428670280/i-started-writing-for-syfys-fangrrls-today "runwithskizzers: runwithskizzers: runwithskizzers: And my first essay is one I’m very proud of:  TEXT:  Brown bodies in white spaces: On meeting Riz Ahmed at Star Wars Celebration  Click through for the full essay. Hope you’ll read.  For the night crew! AND one last time for the morning crew" False text
brittalundin 160383092330 "2017-05-06 22:22:08 GMT" http://brittalundin.tumblr.com/post/160383092330/thefrailtyofavulcan-lordscrubbington "thefrailtyofavulcan:  lordscrubbington:  snakelet:  no homo. we’re fresh out. we should get a new shipment in on monday  can you check in the back  Ya I guess I could check in the closet hold on a sec " False text
brittalundin 160352535175 "2017-05-06 01:00:51 GMT" http://brittalundin.tumblr.com/post/160352535175/altarenelcielo-replied-to-your-post-hi-britta-i "altarenelcielo  replied to your post “Hi Britta! I was just wondering if we will ever discover why Jughead’s…”                     They’ve been in the writers’ room for four weeks. Usually it takes a two-three weeks to plan and outline an episode before someone goes off to write it for a week. So we should be close to the first script coming in if they didn’t spend a week planning the season or something.                Yeah, this is right on! Except we spent about two weeks planning the entire season in the beginning so that we knew where we’re headed." True text
brittalundin 160322631525 "2017-05-05 03:32:39 GMT" http://brittalundin.tumblr.com/post/160322631525/out-of-respect-for-the-west-coast-ill-refrain "Out of respect for the west coast, I’ll refrain from answering asks about tonight’s ep until later." True text
brittalundin 160283036924 "2017-05-04 01:00:48 GMT" http://brittalundin.tumblr.com/post/160283036924/kormit-i-wish-i-had-the-confidence-of-a-bad-male "kormit: I wish I had the confidence of a bad male writer" False text
brittalundin 160214715665 "2017-05-02 03:00:46 GMT" http://brittalundin.tumblr.com/post/160214715665/fluffgawd-pls-teach-your-son-how-to-apologize "fluffgawd: Pls teach your son how to apologize." False text
brittalundin 160210935509 "2017-05-02 01:01:00 GMT" http://brittalundin.tumblr.com/post/160210935509/ericvilas-mark-nuuuutt-assbutt "ericvilas: mark-nuuuutt-assbutt:  rinboob-revolution:  noirandcandypumpkins:  a-nerd-called-quinn:  autisticvimes:  odditycollector:  lordsherlokimort:  phoenixflorid:  skeletonwheel:  ginandmisadventures:  adrithegreat:  meliafucker:  petitepictures:  inc4rn4t:  aaaaa42:  somebody once trolled me, successfully rickroll’d me  im not the sharpest n00b in the thread…  I was typing kind of dumb WITH THE CAPS LOCK BUTTON ON.  i bet u thought this post was finally dead  well the memes start coming, and they dont stop coming  grabbing all the breadsticks, I’ll leave the shop running  didn’t make sense not to live for gun  your left side’s beef but your pizza none  So much to post so much to see so much John Cena on my live feed  very meme, such impress. howu learn these knows. so amaze. wow.  HEY NOW  YOU’RE A MEME STAR  Get the rarest. PEPE!  HEY NOW HERE COME DAT BOI O shit. Waddup.  And that dress was white and gooold  Everybody craves those mineralllllls." False text
brittalundin 160172584409 "2017-05-01 01:00:44 GMT" http://brittalundin.tumblr.com/post/160172584409/pansexualkiba-maxiesatanofficial-benepla "pansexualkiba:  maxiesatanofficial:  benepla: lisa simpson comes out to her parents with a 40-slide powerpoint presentation & a heartfelt, loving conversation which ends with them all crying and hugging. bart just rolls up with his boyfriend one day like “sup this is tyler. he’s terrible.” and then makes out with him in his treehouse for 4 solid hours What about Maggie  maggie has three girlfriends and two boyfriends and they’re all in her band " False text
brittalundin 160135546215 "2017-04-30 01:00:35 GMT" http://brittalundin.tumblr.com/post/160135546215/trickybonmot-my-name-is-fan-and-wen-its-nite "trickybonmot:My name is fan And wen its nite Wen normal fowk ar sleeping tite Wen showrunners Hav ben a dic I do the thing. I rite the fic." False text
brittalundin 158692032704 "2017-03-22 04:30:32 GMT" http://brittalundin.tumblr.com/post/158692032704/get-out-director-wants-young-black-filmmakers "freelance-anthem: diversemovies: “For young black horror filmmakers, if you have a script, reach out and I’ll try to help it get made. Monkeypaw Productions is my production company.” - Jordan Peele Black screenwriters send in your scripts!!!! Jordan Peele’s Twitter: @JordanPeele  MonkeyPaw Productions Twitter (though it doesn’t look active: @Monkeypaw_Prod  @writer-of-whatever!!! yooo!!!" False link
brittalundin 156686373394 "2017-02-01 22:00:50 GMT" http://brittalundin.tumblr.com/post/156686373394/5-calls "thatfishchick: ehmeegee:  the-science-llama:  katthenazikiller:  katthenazikiller:  A lot of people, still high from the women’s march this past weekend, are now left with nowhere to direct that energy.  It can be hard to know where to start when you’re new to the activism game.  Activism isn’t always big marches with tons of chances for cute selfies. Sometimes it’s passing out literature to people who don’t care.  Sometimes it’s writing letters to newspapers, voters, and representatives until your hand cramps. And sometimes, all it takes is a phone call. 5Calls is the easiest way to do that. It finds the correct information for the politicans representing you, and then gives you a call script to use when talking to them (or, more likely, interns) about specific causes.  It makes a task that can be grueling and anxiety-inducing a little bit easier. Please, check it out. Even if you can’t make all 5 calls, try making 1.  Every little bit helps.  At the very least, reblog this post so others can get started making their voices heard.  If your representatives don’t know what you want, how can they vote in your best interest?  Don’t ever forget that politicians work for you and for me..  I'mma keep posting this shit til y'all catch on  Also want to make people aware of: Scileadership (another tool that generates printable letters and phone scripts to your senators) You can also support the Union of Concerned Scientists and the ScienceDebate  THIS IS THE BEST THING.  I’ve been calling my representatives on a near-daily basis. LET YOUR VOICES BE HEARD.   Legit. DAPL and Keystone XL are getting pushed through. If you don’t know your reps status, call! " False link
brittalundin 156103234530 "2017-01-20 01:30:19 GMT" http://brittalundin.tumblr.com/post/156103234530/survey-tumblr-language-politics "howdoyoutmblr:  Hi Tumblr!  I’m a graduate student in linguistic anthropology who is beginning my doctoral dissertation research – the focus of which is the unique ways people use language on specific social media platforms and how that relates to political/civic engagement.  I’ve created a brief survey in order to gather preliminary data about this topic and I would absolutely love to get as many responses as possible. Therefore, if you are at all interested, I would be delighted if people would click through that link and take my survey :D If you can’t or aren’t interested in taking the survey right now, but would be willing to pass along the link, that would also be much appreciated! Requirements for participation:   Have an active Tumblr account OR have had an active Tumblr account sometime in the past. Don’t be a robot. Maybe the semiotic and affective practices of  robots will be my next project, but sticking to humans for the moment. Have any questions? More details can be found on the survey itself or on my FAQ page. THANK YOU <333 " False link
brittalundin 156000250113 "2017-01-17 18:30:45 GMT" http://brittalundin.tumblr.com/post/156000250113/want-to-help-homeless-people-out-in-the-cold "meanwhileinpdx: You may be wondering how you can help. Here are three organizations that are in need of supplies.1. Bud Clark Commons665 NW Hoyt Street, 280-4700 Ext. 22. Portland Rescue Mission111 W Burnside Street, 647-74663. Salvation Army Female Emergency Shelter (SAFES)30 SW 2nd Avenue, 227-0810Specifically, these organizations need blankets, tarps, jackets, socks, gloves and hand-warmer packets. You can drop off donations at each location.If you’re stuck at home, you can still donate. The Union Gospel Mission has set up an Amazon Wishlist, where you can directly purchase sleeping bags, blankets, gloves and sleeping pads to be donated to the shelter, with items ranging from $9-32. You can also donate money here.Severe weather conditions are expected through Sunday morning. Here’s a full list of cold-weather shelters that are open.If you see someone in need of shelter, call the police non-emergency number at 503-823-3333. If you are in need of shelter, you can contact 211 Info by dialing 2-1-1." False link
