medievalistsnet 144165808856 "2016-05-10 21:36:04 GMT" http://medievalistsnet.tumblr.com/post/144165808856/reblog-if-youre-still-not-over-the-library-of  True text
medievalistsnet 35813377152 "2012-11-16 02:00:57 GMT" http://medievalistsnet.tumblr.com/post/35813377152/noble-and-urban-family-structures-in-the-late "Noble and Urban Family-Structures in the Late Middle Ages in the Hungarian Kingdom Balogh, Robert (University of Debrecen, Hungary) Ideologies through History Papers of the seventeenth ISHA Conference Utrecht, the Netherlands April 17-22, (2006) Abstract The concept of nobility is a key for understanding Medieval societies and so is that of the town; the medieval commune. In the last three decades a number of studies has been carried out to examine the medieval noble society of the Hungarian Kingdom (I prefer this term to “Hungarian nobility” for greater clarity: even though nobles constituted the political nation of Hungary, ethnically many of them were not Hungarian) and well-trained scholars have taken on the task of penetrating the urban society of the same entity as far as possible. However, very few attempts have been made to describe and compare these two structures on a micro-level, on the level of families.  The family of a noble was not family in the modern sense of the word; it should sooner be described as a clan. The clan was the unity of those who had the same ancestors, but regarding property this only included the male descendants. If we look for the binding that for many generations held the micro spheres of noble society together as strongly as fiefs did in Western-Europe, we find the clan. The basic element of the birth of a clan was a kind of individualisation: breaking away from the genus through partition of the lands owned by the living male members. Until 1343 the partition was done drastically: whole villages and regions became the property of on or the other branch of the genus. In 1343 a royal decree ordered that the partition must point to a division of each units. This was probably the request of many branches: thanks to the geographical proximity, it became much easier to claim the rights of the lands of other disappearing branches. " True text
medievalistsnet 35218144928 "2012-11-07 20:33:25 GMT" http://medievalistsnet.tumblr.com/post/35218144928/excusing-the-inexcusable-abbots-who-diminish-the "SESSION IV: Abbots between Ideals and Institutions, 10th–12th Centuries Excusing the Inexcusable: Abbots Who Diminish the Patrimony, and the Monks Who Love Them Anyway Jennifer Paxton (Georgetown & The Catholic University of America) Summary This paper focused on monastic chronicles and their abbots. Monastic chronicles can be harsh in their judgements of abbots. An abbacy was often well covered in these chronicles and things such as patrimony preservation was important. Not all abbots were able to meet this minimum standard, especially during difficult times like during Stephen’s reign in the twelfth century. The Liber Eliensis has nothing good to say about Bishop Nigel under Stephen’s reign. Every time he switched allegiance between Matilda and Stephen, Ely lost. He did a terrible job keeping the patrimony of Ely. Due to this upheaval, a factional split occurred; one side felt that Nigel was wholly to blame for the abbey’s loss and the other side that agreed there were mitigating circumstances excusing his actions during his abbacy. The right of the abbot to alienate church lands was questionable at best. Paxton gave the example of the Abbot Swinlea who used the church’s seal and did what he wanted during his abbacy. Many of his inappropriate uses of the seal for documents were broken after his death. His monks did not agree with his actions and wanted to protect the monastery. Then Paxton described the monetary losses suffered through Abbot Ingulf. Abbot Ingulf gathered money and allowed Stephen to plunder it - all the money was removed from the monastery to pay for the debt. Ingulf asked for forgiveness of the sins he committed during his abbacy. He was replaced by an abbot appointed by a young King Henry II. The Abingdon chronicler reflected the views of the sacristy; it juxtaposed the successes of the sacristy against the failures of the abbot. The author was kinder to Ingulf and paints a more forgiving picture of him. He counters the sacristy’s version of events in the chronicle and makes excuses for his actions and financial failures. There emerge two contrasting pictures of abbot Ingulf - one blames the abbot, one blames treachery and hard times for these losses. Was his response and leadership proper during such difficult times? These were times where abbots had to make tough decisions. Polarised factions emerged and what mattered after the fact was whether particular transactions ended up benefiting or harming the monastery. It was a veritable medieval “spin room”. ~Sandra Alvarez" True text
medievalistsnet 34993484556 "2012-11-04 18:36:40 GMT" http://medievalistsnet.tumblr.com/post/34993484556/nerding "On our way to visit Paul Revere’s house before the long drive home to Toronto :) ~S" True text
medievalistsnet 34906000169 "2012-11-03 16:10:44 GMT" http://medievalistsnet.tumblr.com/post/34906000169/kings-as-catechumens-royal-conversion-narratives "SESSION I: Lived Religion in the Middle Ages   “Kings as Catechumens: Royal Conversion Narratives and Easter in the Historia Ecclesiastica” by Carolyn Twomey (Boston College) Summary Bede has long served as a primary text about Early Mediaeval Christianity and historiography during the early conversion period but his version of events has recently been challenged. This paper investigated the language used in Easter catechises by Bede and did not focus on the actual conversion of kings but the language written about them by Bede. There was deliberate didactic construction that demonstrated Bede’s concerns with the Northumbrian church and how he “made” formerly Pagan kings appropriate catechumens by describing the physical and spiritual catechumen’s process of conversion. The catechumen submitted his name for baptism and underwent a month long process, which included exorcisms, complex anointing and other rituals over Lenten period until the baptism occured at Easter. Bede narrated this transition and described how Pagan kings accepted Christianity. Royal conversion was a lengthy process, and was a combination of instruction and ritual events. According to Bede there were two periods of Cathecesis: 1.) Kings received catechises through Roman missionaries, education, preaching and holy example. Bede mentions King Aethelbert of Kent and how he was won over to the Christian faith. 2.) The acceptance of faith – Demonstrated by taking up Chritian practices and abandoning Pagan ones, like more than one wife and worshipping Pagan idols. Bede considered kings who reverted to Paganism, “Christian apostates” even if they weren’t baptised. According to these royal narratives of conversion, they were Christians before they accepted the faith. This second phase could take several months but Bede bounded the second phase of catechesis in a liturgical time frame. Bede wrote extensively on King Edwin of Northumbria’s conversion narrative. Edwin’s example demonstrates the ideal liturgical model required for conversion and preparation for baptism. Bede’s text was a tool for the battle against Paganism and a history of England’s conversion. Bede worked to continue the conversion process that had begun with earlier missionaries in England. His work was the story of the foundation of the English church with Easter as the most important date in the early mediaeval calendar. ~S " True text
medievalistsnet 34640643124 "2012-10-30 16:29:00 GMT" http://medievalistsnet.tumblr.com/post/34640643124/just-a-hello "Hello & Welcome to the Medievalists.net Tumblr - thanks for following us, reblogging and just popping in to say hello :)  While we will be posting a lot of mediaeval stuff (hence the name), we’ll also be throwing up posts from all our history sites: Mediaeval, Early Modern, Ancient History, 1812, and the American Civil War. This will be a mixed bag of historical goodies so reach in and enjoy!   ~S & PK" True text
medievalistsnet 161065411806 "2017-05-25 18:49:55 GMT" http://medievalistsnet.tumblr.com/post/161065411806/the-mouse-that-ransomed-her-sister  True link
medievalistsnet 160966378931 "2017-05-23 00:36:06 GMT" http://medievalistsnet.tumblr.com/post/160966378931/joan-of-arc-through-the-ages-in-art-and  True link
medievalistsnet 160966051266 "2017-05-23 00:24:40 GMT" http://medievalistsnet.tumblr.com/post/160966051266/greening-gawain-connecting-environmental-damage  True link
medievalistsnet 160965707681 "2017-05-23 00:12:27 GMT" http://medievalistsnet.tumblr.com/post/160965707681/what-you-look-at-you-make-menstruation-and  True link
medievalistsnet 160958248661 "2017-05-22 20:11:01 GMT" http://medievalistsnet.tumblr.com/post/160958248661/get-thee-to-a-nunnery-unruly-women-and  True link
medievalistsnet 160957628616 "2017-05-22 19:52:50 GMT" http://medievalistsnet.tumblr.com/post/160957628616/perceptions-of-hot-climate-in-medieval-cosmography  True link
medievalistsnet 160954265076 "2017-05-22 18:02:07 GMT" http://medievalistsnet.tumblr.com/post/160954265076/magic-technology-and-new-categories-of-knowledge  True link
medievalistsnet 160933743861 "2017-05-22 03:19:52 GMT" http://medievalistsnet.tumblr.com/post/160933743861/thousands-of-vikings-were-based-at-torksey-camp  True link
medievalistsnet 160932497606 "2017-05-22 02:41:21 GMT" http://medievalistsnet.tumblr.com/post/160932497606/world-championships-in-medieval-combat-comes-to  True link
medievalistsnet 160817464611 "2017-05-18 22:29:27 GMT" http://medievalistsnet.tumblr.com/post/160817464611/infantry-versus-cavalry-the-byzantine-response  True link
medievalistsnet 160815503691 "2017-05-18 21:24:05 GMT" http://medievalistsnet.tumblr.com/post/160815503691/eleanor-of-aquitaine-a-queen-and-a-mother  True link
medievalistsnet 160498366851 "2017-05-10 01:27:30 GMT" http://medievalistsnet.tumblr.com/post/160498366851/student-life-in-the-medieval-university-the  True link
medievalistsnet 160414595270 "2017-05-07 19:30:13 GMT" http://medievalistsnet.tumblr.com/post/160414595270/female-secret-agents-in-the-middle-ages  True link
medievalistsnet 160403850706 "2017-05-07 13:28:41 GMT" http://medievalistsnet.tumblr.com/post/160403850706/did-everyone-believe-in-religion-in-medieval  True link
medievalistsnet 160311409880 "2017-05-04 21:00:34 GMT" http://medievalistsnet.tumblr.com/post/160311409880/the-affects-of-warfare-upon-trade-growth-in-a  True link
medievalistsnet 160309730506 "2017-05-04 20:06:23 GMT" http://medievalistsnet.tumblr.com/post/160309730506/death-of-a-renaissance-record-keeper-the-murder  True link
medievalistsnet 160273282531 "2017-05-03 19:33:52 GMT" http://medievalistsnet.tumblr.com/post/160273282531/the-oneiromancy-of-laxdæla-saga-a-psychoanalytic  True link
medievalistsnet 160272233691 "2017-05-03 18:58:20 GMT" http://medievalistsnet.tumblr.com/post/160272233691/letters-from-the-otherworld-arthur-and-henry-ii  True link
medievalistsnet 160165046763 "2017-04-30 21:00:40 GMT" http://medievalistsnet.tumblr.com/post/160165046763/life-in-a-small-medieval-town-the-limburg  True link
medievalistsnet 160162657171 "2017-04-30 19:46:43 GMT" http://medievalistsnet.tumblr.com/post/160162657171/new-medieval-books-from-battles-to-beds  True link
