littlethingsaboutgod 123774155220 "2015-07-11 02:40:30 GMT" http://littlethingsaboutgod.tumblr.com/post/123774155220  True text
littlethingsaboutgod 45160321366 "2013-03-12 02:30:43 GMT" http://littlethingsaboutgod.tumblr.com/post/45160321366 "“Unless Jesus Christ remains our first love, we’ll always be looking to a mere human to meet the deepest needs in our hearts, and we’ll always be disappointed because they are needs that only God can satisfy.”  ~Leslie Ludy." True text
littlethingsaboutgod 43693048899 "2013-02-22 02:43:00 GMT" http://littlethingsaboutgod.tumblr.com/post/43693048899 "“…Life is hard, and in the especially hard times, it’s easy for us to forget that we all deserve hell, and that every good thing in our lives is a blessing not owed to us by God but graciously given to us in love. That’s a lot of blessing. Sometimes we’re so focused on our desired blessings that we fail to stop and thank God by remembering the blessings we already have in Christ.” Excerpt from “Who Do You Think You Are?” by Mark Driscoll" True text
littlethingsaboutgod 42686455235 "2013-02-09 19:45:10 GMT" http://littlethingsaboutgod.tumblr.com/post/42686455235 "To the girl who asked about a prophesying guy who declared she would be his future wife: 1 Thess. 5:19. BUT also 1 John 4:1. Anyone can just talk and say anything. As one saying goes: Be fair, but beware! (That is, “be fair” in treating possibilities fairly… in context.)" True text
littlethingsaboutgod 42494057698 "2013-02-07 08:15:31 GMT" http://littlethingsaboutgod.tumblr.com/post/42494057698 "“As we go through the Bible, we constantly read disastrous reports of the terrible things the devil had planned for God’s people. Then we come to this little phrase, But God…, and the next thing we read about is a victory. In the scripture, the fact is mentioned that we are all sinners, a condition that deserves punishment and death. The phrase But God… interrupts the process. God’s love is brought into the situation and changes everything.”  Romans 5:8 ESV but God shows His love for us in while we were sinners, Christ died for us.  Always remember and come back to God’s love. Dwell in His love. Thank Him for His love. Reflect upon what God’s love has done for you, is doing for you, and will do for you. " True text
littlethingsaboutgod 40308256964 "2013-01-12 03:50:30 GMT" http://littlethingsaboutgod.tumblr.com/post/40308256964  True text
littlethingsaboutgod 40228860706 "2013-01-11 03:40:35 GMT" http://littlethingsaboutgod.tumblr.com/post/40228860706  True text
littlethingsaboutgod 37763082402 "2012-12-12 03:20:43 GMT" http://littlethingsaboutgod.tumblr.com/post/37763082402  True text
littlethingsaboutgod 37613715735 "2012-12-10 03:48:38 GMT" http://littlethingsaboutgod.tumblr.com/post/37613715735 "Ecclesiastes 3:11 NIV" True text
littlethingsaboutgod 36787800545 "2012-11-29 03:48:18 GMT" http://littlethingsaboutgod.tumblr.com/post/36787800545  True text
littlethingsaboutgod 161054615420 "2017-05-25 11:30:21 GMT" http://littlethingsaboutgod.tumblr.com/post/161054615420 "Sometimes we have unrealistic standards that are extremely dangerous. For example, if you’re human and alive, you’re going to experience feelings of attraction for other humans.If you see those feelings as unacceptable, you will feel distressed every time you experience them. If, on the other hand, you understand that they are mere feelings that don’t need to be obeyed, acted upon or even focused on, you will have a much healthier, relaxed life.Of course, if you’re single and the person who has caught your attention is single, too, perhaps those feelings might be worth considering. (On the other hand, you might find that within a day or two, they’ve completely evaporated. Such is the nature of human emotion.)" True link
littlethingsaboutgod 161018224037 "2017-05-24 11:30:18 GMT" http://littlethingsaboutgod.tumblr.com/post/161018224037 "Humans in every culture have always most admired the most selfless, even self-sacrificial expressions of love far more than desperate acts of self-preservation. Christianity, with its self-sacrificing God, didn’t create this admiration. It just most beautifully and gloriously fits the shape of love our souls most admire and deeply desire — like the missing puzzle piece we’ve always been searching for.Love points to God. We know this deep down. Our biggest problem is that the god we want to see at the end of the pointer is often a false one." True link
littlethingsaboutgod 160980821210 "2017-05-23 10:45:13 GMT" http://littlethingsaboutgod.tumblr.com/post/160980821210 "Memorizing scripture hasn’t necessarily changed our circumstances, but it has changed us from the inside out. It’s given us something solid to hold onto when the shame storms roll in, and we have realized that God’s not lying when he says that His word is “alive and active. sharper than any double edged sword” (Heb 4:12), and that “As the rain and the snow come down from heaven, and do not return to it without watering the earth and making it bud and flourish,….so is my word that goes out from my mouth: It will not return to me empty, but will…achieve the purpose for which I sent it.” (Isaiah 55:10-1)" True link
littlethingsaboutgod 160905556655 "2017-05-21 11:30:07 GMT" http://littlethingsaboutgod.tumblr.com/post/160905556655 "We tend to define our life based on our perception of our progress. Am I where I thought I would be at this age? Have I achieved what I thought I would? Are my dreams more or less real today? Am I happy in my marriage, my family, my position at work? Is my life successful?In reality, life is never defined by our performance or circumstances. What really makes any life worth living today is the presence and protection and pleasure of the almighty, all-satisfying God." True link
littlethingsaboutgod 160869267256 "2017-05-20 10:45:25 GMT" http://littlethingsaboutgod.tumblr.com/post/160869267256 "Most of us go on a mission trip—to orphanages, inner-city neighborhoods, the hollows of Appalachia—with a desire to impact the people we meet. We begin with a desire to do good, to see change and to be a part of something meaningful. But the truth is, when we go to these places and meet the real people who live there, we are the ones who leave changed.I’ve led more mission trips than I can count, and over and over again I see the same narrative take place. The people who come to give are the ones who end up receiving far more from the experience. It’s not what most people initially expect to happen, but it does. Through my own travels and cross-cultural relationships, my faith has been refined and challenged by the most unlikely people—homeless people under bridges; students from small, indigenous villages; and local pastors who are deeply invested in their work.As a result of these relationships, I’ve started to have a shift in mindset and ask different questions about my role in the world. Here are a few that keep coming up, even though sometimes just asking the question can feel like I’m pushing against what I was always told about missions." True link
littlethingsaboutgod 160834686546 "2017-05-19 10:45:17 GMT" http://littlethingsaboutgod.tumblr.com/post/160834686546 "Throughout the ministry of Jesus, the Bible introduces a number of nameless individuals commended for their faith. There is the woman suffering from a prolonged discharge of blood (Luke 8:43-48) and the Roman centurion concerned for the well-being of his bedridden servant (Matt. 8:5-13). Neither is named, yet both become the benefactors of Christ’s healing mercies. Perhaps the most famous anonymous figure of the New Testament is the Samaritan woman Jesus met at a well outside of her community. After a brief conversation, she beheld Christ and raced back to her town to declare the saving mercies of the Messiah (John 4:1-45). Many of her neighbors experienced salvation as a result of her testimony, yet we never learn her name.Anonymity is a feature common to each of these individuals. God has seen fit to include them in His story of redemption, but Scripture omits their names. Not because they are without value, but because the point of their lives, like ours, is to make great the Name Above All Names—the Sovereign God, I Am. That is the legacy we are called to leave behind." True link
littlethingsaboutgod 160799434897 "2017-05-18 10:45:24 GMT" http://littlethingsaboutgod.tumblr.com/post/160799434897 "We can’t be Christ to anyone, and no one can be Christ to us but him. Anytime we look to others as our savior, anytime we expect them to be our “everything,” we turn friendship into idolatry. In the past, for instance, when something happened to me, I went to my professor instead of to God.In right friendships, however, the goal is to point each other to Christ, which enables us to keep God at the center of our love for one another. I must allow my friends not to be Christ. In other words, they are going to let me down and aren’t going to love me unconditionally, and vice versa. But I can always turn to Christ and be loved, and I can always point my friends to Christ for their needs." True link
littlethingsaboutgod 160729463838 "2017-05-16 12:15:15 GMT" http://littlethingsaboutgod.tumblr.com/post/160729463838 "Whenever you see a left-leaning Christian talking to a conservative about poverty, it turns into a question of who should be taking care of the poor. I found myself in a debate about this the other day, and the gentleman I was talking to fell back on the argument that it was the Church’s job to take care of the poor, not the government. But is that really true?My first thought whenever I hear this argument is, “Who gave the Church this job?” Obviously the implied answer is God. After all, Jesus does talk a lot about His followers’ responsibility for taking care of the downtrodden, poor and oppressed. If you read His parable about the sheep and the goats, it’s easy to walk away with the impression that eternal life rests entirely upon whether or not a person cares for the poor. It’s pretty obvious that Jesus intends for the Church to be in the business of serving “the least of these.”" True link
littlethingsaboutgod 160692734649 "2017-05-15 12:15:21 GMT" http://littlethingsaboutgod.tumblr.com/post/160692734649 "A broken heart might be a woman who gets the call from her doctor that she has miscarried. It’s the child who learns that his father has cancer. It’s broken relationships, debilitating depression, dreams dying and crumbling in our hands.I walked into church the day after my heart broke. Broken, aching hearts fill the pews in each of our churches every Sunday. Although surrounded by community, the pain still felt intensely personal. “The heart knows its own bitterness” (Proverbs 14:10). The deep ache can feel as isolating as a prison cell. The Enemy wants nothing more than to lock believers in that cell of pain, and keep us trapped in isolation. But God wants the opposite. Here are three things to remember when you are tempted to stay home on Sunday morning with a broken heart." True link
littlethingsaboutgod 160691102142 "2017-05-15 10:45:21 GMT" http://littlethingsaboutgod.tumblr.com/post/160691102142 "I usually walk when I pray. For me, it’s practical: I concentrate better and don’t fall asleep. It’s also allegorical: a frequent biblical metaphor of the life of faith is “walking with God” (Genesis 5:4; Deuteronomy 11:22; Colossians 1:10).I was prayer-walking recently when Micah 6:8 came to mind with the kind of sharp clarity that often proves to be the prompting of the Spirit. I pulled it up on my phone app and read it:He has told you, O man, what is good; and what does the LORD require of you but to do justice, and to love kindness, and to walk humbly with your God? (Micah 6:6–8)Two words stopped my in my tracks: “Love kindness.” The imperative scanned my heart like a searchlight. Do I really love kindness? Or do I mainly love the idea of kindness? I frequently pray, “Search me, O God, and know my heart! Try me and know my thoughts!” (Psalm 139:23). He was taking me up on my invitation.This heart examination continued and spread through the rest of verse: Do I really “do justice”? Or do I mainly affirm the idea of justice? Is my “doing justice” mainly “not doing injustice” myself, but rarely pursuing justice for others?" True link
littlethingsaboutgod 160653821976 "2017-05-14 11:30:26 GMT" http://littlethingsaboutgod.tumblr.com/post/160653821976 "The Bible is very clear about the ramifications of disobedience. And the Bible is very clear about the importance and need to “love the Lord your God with all your heart, with all your soul, with all your mind, and with all your strength” and to “love your neighbor as yourself.” (Mark 12:29-31)Spend time in the Word, study the Word and learn how to study the Word so that you can hear what God is saying to you through His Word." True link
littlethingsaboutgod 160615956780 "2017-05-13 10:45:18 GMT" http://littlethingsaboutgod.tumblr.com/post/160615956780 "If you type“why are Christians so …” into Google, one of the automatic search suggestions completes that sentence with the word “mean.” Part of the reason for this stigma undoubtedly has to do with how we engage in disagreements online. The comment sections on many Christian articles can attest to this fact.In the Bible, Jesus sends His disciples out two by two to share the gospel, but He gives them the command to “shake the dust off [their] feet” and leave when they were not welcomed (Matthew 10:14). This way the gospel could continue to advance and no time was wasted on people whose only goal was to stir up dissension.If we apply these instructions of Jesus to our online behavior today, shaking the dust off our fingers, perhaps people wouldn’t just characterize us as hateful and angry. We don’t need to reply to every comment we disagree with. A place for healthy debate should always exist, but nine times out of ten that place is not the comment section." True link
littlethingsaboutgod 160581459580 "2017-05-12 10:45:13 GMT" http://littlethingsaboutgod.tumblr.com/post/160581459580 "For those of us who tend toward too much self-evaluation, what should we do when we find ourselves overthinking things?We don’t have to listen to ourselves. Instead, we can talk back to ourselves. We can take our thoughts captive. We can speak the truth of God’s word to our hearts, for the word has the power to change and transform us. “Sanctify them in the truth; your word is truth” (John 17:17). Lies lose their power in the face of truth. We need to know God’s word by heart so that it is always on the tip of our tongue, ready for us to fire at the lies we hear around us — especially those within our own hearts.The gospel isn’t something we respond to once in our life at the moment of salvation. Rather, it’s something we respond to and apply to our life each and every day. We need to preach the gospel to ourselves, remembering all that we have in Christ. We need to remember what Christ did for us in his perfect life, sacrificial death, and triumphant resurrection. We cling to the precious reality that God, who didn’t spare his own Son but gave him up for us all, will certainly give us everything we need (Romans 8:32). When it comes to our overthinking, we need to rebuke and correct ourselves with the truths of what Jesus has done, what he is doing, and what he will do." True link
littlethingsaboutgod 160476595713 "2017-05-09 12:15:08 GMT" http://littlethingsaboutgod.tumblr.com/post/160476595713 "If you’ve been around Christian culture long, you know we have language for this: mountaintops and valleys. We all know that’s just the way it is. Much of life is out of our control, and these seasons come and go. We all have these stages with God that shape our faith and who we are today.But somehow we still try to control everything, especially when it comes to parts of life that involve struggles and trials. I’m learning more and more that my reactions toward trials become some of the most shaping experience in life.Most of us run away when trouble comes because we haven’t prepared to react to this with hope and strength. And that’s because it’s hard to prepare for trials when you’re in the middle of them. But it’s a whole other thing to prepare for it beforehand." True link
littlethingsaboutgod 160439449750 "2017-05-08 11:30:26 GMT" http://littlethingsaboutgod.tumblr.com/post/160439449750 "When we try to earn God’s acceptance, our morality becomes the point, and duty becomes our motivation. We relate to God out of fear because we don’t want to upset the slave master.We work and strive, trying to earn what is already ours to begin with. But grace says that we can’t earn any more of God’s love, nor can we lose an ounce of it because of anything we’ve done or ever will do. It’s grace. It’s a gift. It’s ours for the taking. Trust it and receive it.Grace is always opposed to earning, but it’s not opposed to effort. In fact, grace makes demands. Grace calls out the best from us. Grace reorients everything we thought we knew about life. Grace confronts us in ways that may be uncomfortable." True link
littlethingsaboutgod 160365799015 "2017-05-06 11:30:15 GMT" http://littlethingsaboutgod.tumblr.com/post/160365799015 "When Luke recorded his version of the Lord’s Prayer (Luke 11:2–4), he included Jesus expounding on this prayer through an odd parable that would have made his original hearers cringe:“Which of you who has a friend will go to him at midnight and say to him, ‘Friend, lend me three loaves, for a friend of mine has arrived on a journey, and I have nothing to set before him’; and he will answer from within, ‘Do not bother me; the door is now shut, and my children are with me in bed. I cannot get up and give you anything’? I tell you, though he will not get up and give him anything because he is his friend, yet because of his impudence he will rise and give him whatever he needs.” (Luke 11:5–8)What’s odd is that a story about a socially humiliating situation and a reluctant, irritated benefactor is supposed to encourage us to pray. What does Jesus want us to see in this kind of need and this kind of provider?" True link
littlethingsaboutgod 160297760925 "2017-05-04 12:15:21 GMT" http://littlethingsaboutgod.tumblr.com/post/160297760925 "Mark’s gospel tells us that Mary Magdalene, Mary the mother of James, and Salome went spice shopping on Saturday night. (Mark 16:1) But in this verse we’re simply told “they came to the tomb” (LEB). Shall we assume it’s the same three women?Luke’s gospel talks about “the women who had come with Jesus from Galilee” (Luke 23:55) at the end of one chapter and then begins the next with “the women took the spices they had prepared.” (Luke 24:1) If Luke meant all the women from Galilee, that would have been quite a number, and Mary of Nazareth would likely have been counted among them.Matthew’s gospel mentions only two women: “Mary Magdalene, and the other Mary, came to see the sepulcher.” (Mt. 28:1 GNV) And John’s gospel names just one woman: “Mary Magdalene went to the tomb.” (John 20:1)" True link
littlethingsaboutgod 160260711918 "2017-05-03 10:45:34 GMT" http://littlethingsaboutgod.tumblr.com/post/160260711918 "Marriage is the uniting of two completely different people and all the baggage they bring with them. It was built with extraordinary potential—to be an example of Christ’s love on this earth. The partnership we take on with another person is dynamic and beautiful. But it often takes a windy road of repositioning and adjusting, for it to become all we hope it will be.Truth be told, a marriage will only be as healthy or prosperous as the two people in it endeavor to be. Fortunately, God will help us flourish as individuals and as a pair, if we are committed to Him through it. He is the one who created marriage, and He’s the expert at developing it." True link
littlethingsaboutgod 160224667579 "2017-05-02 10:45:17 GMT" http://littlethingsaboutgod.tumblr.com/post/160224667579 "People in pain often say painful things. Acute pain, whether physical or psychological, is not a balanced experience. It’s a dominating experience. Such pain shoves its way to the front of our priorities and almost always distorts our perspective. When it’s flaring, we tend to say things that we wouldn’t otherwise say, and in ways we wouldn’t otherwise say them.What’s crucial for any comforter or counselor is to discern whether angry or exasperated or despairing words are coming from an afflicted person’s soul-core(their deeply held, life-governing beliefs) or from their soul-sore (a flaring pain temporarily distorting a person’s perspective). There is a huge and important difference." True link
littlethingsaboutgod 160186899651 "2017-05-01 10:45:09 GMT" http://littlethingsaboutgod.tumblr.com/post/160186899651 "My husband and I walked into marriage carrying mounds of baggage—wounds still fresh and painful. We brought in addictions, abuses of all kinds, trust and control issues, fears, unforgiveness, shame, and a million other intimacy-killing challenges.Rather than ask God to heal our tangled hearts, we foolishly thought love would fix everything. We thought it would complete us. It didn’t.We decided that children would fix our problems, so we had two babies fourteen months apart. In our desperation, we thought starting a family would bring us closer together. It didn’t.And the disappointing months turned into disappointing years. It felt hopeless. I felt hopeless. But hopeless isn’t part of God’s language." True link
