alohaspaceman 161083492197 "2017-05-26 05:03:53 GMT" https://alohaspaceman.tumblr.com/post/161083492197/reblog-if-youre-in-the-my-ship-isnt-canon-but  True text
alohaspaceman 160814576661 "2017-05-18 20:54:39 GMT" https://alohaspaceman.tumblr.com/post/160814576661/alex-oloughlin-confirms-hawaii-five-0-season-8 "boazpriestly: ssthongmagnet:  barbela0127:    I’m sad about the news, but I support his decision. He has given too much to this show. There is no Five-0 without McDanno. So, please give all of them a happy ending and end this show after season 8.   Give all my best wishes to Alex. Thanks for 8 year’s amazing performance. You’re the best. Aloha. Mahalo.  I fully support his decision, as much as I’m dreading next season because of what was revealed in the last few minutes of S7. As long as they give Steve the send off he deserves. And by that I mean retiring with his Danno and running “Steve’s”, bickering about recipes and tablecloths.  Just end the show and start a spin-off where Kono leads her own taskforce aimed at stopping sex trafficking.  Also make Steve and Danny get together forever.  In the Watch Magazine interview he says it would be a miracle beating Jack Lord’s 12 season record but he can see himself coming back for a season or two. He was in a lot of pain back in Nov but now he feels better. (pic of the article here)" False link
alohaspaceman 160813121819 "2017-05-18 20:07:28 GMT" https://alohaspaceman.tumblr.com/post/160813121819/cities-need-hedges-as-well-as-trees-for "thec8h10n4o2:Ode alla siepe" False link
alohaspaceman 160786552885 "2017-05-18 01:18:05 GMT" https://alohaspaceman.tumblr.com/post/160786552885/congress-just-gave-trump-awful-news-about-his-next "machine-dove:  Rep. Ted Lieu (D-CA) has formally introduced a bill into Congress that would require Trump to reimburse the government for funds spent on travel to his own properties, such as Mar-a-Lago in Florida and the Trump National Golf Club in Bedminster, NJ. Lieu’s bill, the Stop Waste and Misuse by the President (SWAMP) Act, states that Trump’s travel “results in the American taxpayer effectively subsidizing the president’s businesses.” The bill would also require that Trump reimburse the government for Secret Service costs derived from visits to his properties.  " False link
alohaspaceman 160743474867 "2017-05-16 21:03:40 GMT" https://alohaspaceman.tumblr.com/post/160743474867/colourised-pics-of-russias-female-snipers-who  True link
alohaspaceman 160688942451 "2017-05-15 08:21:25 GMT" https://alohaspaceman.tumblr.com/post/160688942451/stones-have-been-popping-out-of-people-who-ride "kawuli: kawuli:  kawuli:  1. Doctor finds anecdotal evidence that people are passing kidney stones after riding on Big Thunder Mountain Railroad at Disney World 2. Doctor makes 3-D model of kidney, complete with stones and urine (his own), takes it on Big Thunder Mountain Railroad 60 times 3. “The stones passed 63.89 percent of the time while the kidneys were in the back of the car. When they were in the front, the passage rate was only 16.67 percent. That’s based on only 60 rides on a single coaster, and Wartinger guards his excitement in the journal article: ‘Preliminary study findings support the anecdotal evidence that a ride on a moderate-intensity roller coaster could benefit some patients with small kidney stones.’” 4. “Some rides are going to be more advantageous for some patients than other rides. So I wouldn’t say that the only ride that helps you pass stones is Big Thunder Mountain. That’s grossly inaccurate.” 5. “His advice for now: If you know you have a stone that’s smaller than five millimeters, riding a series of roller coasters could help you pass that stone before it gets to an obstructive size and either causes debilitating colic or requires a $10,000 procedure to try and break it up. And even once a stone is broken up using shock waves, tiny fragments and “dust” remain that need to be passed. The coaster could help with that, too.” SCIENCE: IT WORKS  Update:  “In all, we used 174 kidney stones of varying shapes, sizes and weights to see if each model worked on the same ride and on two other roller coasters,” Wartinger said. “Big Thunder Mountain was the only one that worked. We tried Space Mountain and Aerosmith’s Rock ‘n’ Roller Coaster and both failed.”Wartinger went on to explain that these other rides are too fast and too violent with a G-force that pins the stone into the kidney and doesn’t allow it to pass.“The ideal coaster is rough and quick with some twists and turns, but no upside down or inverted movements,” he said. MSU Today  I just love this because it’s HILARIOUS and yet also a perfect archetypal example of The Scientific Method: 1. Hypothesis 2. Experiment 3. Results 4. Discussion  5. Conclusions 6. GOTO 1 (the scientific method is iterative, don’t forget that part) " False link
alohaspaceman 160475175141 "2017-05-09 10:57:18 GMT" https://alohaspaceman.tumblr.com/post/160475175141/a-walk-on-water-we-are-surf-therapy-awalkonwater1 "  The Hollywood 360 sat down with Scott Caan (Danno, “Hawaii Five-O”) and asked him about his reaction to this fabulous organization.  “I’ve been surfing my whole life and I have gotten so many benefits out of the ocean.  When Pat came up with this idea, he didn’t have to pitch me at all.  I told him I was in. I’ve seen what it has done for kids, I’ve seen the changes they go through, I’ve seen the power of the ocean.  It’s super close to my heart and I am so happy I get to do something that helps and teaches these very special kids.” “It’s one thing to give money to a charity, it’s another to be able to do something not everyone can do.  I’ve been surfing with kids a long time and it’s one of my favorite things in the world to do.”“A Walk on Water is such a special group of people and such a special cause.  I can’t tell you how amazing it is to see a kid kicking and screaming on the beach saying, ‘NO, NO, NO…’ and then getting them on a wave and then they want to go back out and do it again.”" True link
alohaspaceman 160222980993 "2017-05-02 08:49:50 GMT" https://alohaspaceman.tumblr.com/post/160222980993/hanna-barberas-cartoon-cat-snagglepuss-is-now-a "hellotailor:  dailydot:  DC Comics is relaunching the cartoon cat Snagglepuss as a “gay Southern Gothic playwright,” following the Hanna-Barbera reboots that gave us post-apocalyptic Wacky Races and The Flintstones as a dark political satire. Snagglepuss isn’t as well-known as some Hanna-Barbera cartoons like Scooby-Doo or The Smurfs, so you’d be forgiven for mistaking him for the Pink Panther. He’s a pink mountain lion who aspires to be a stage actor, with a camp, lisping voice provided by Bert Lehr—the cowardly lion from The Wizard of Oz.   The upcoming comic takes place in the New York theater scene of the 1950s, with Snagglepuss going up against the House Committee on Un-American Activities.   [READ MORE]  " False link
alohaspaceman 160197733576 "2017-05-01 18:01:07 GMT" https://alohaspaceman.tumblr.com/post/160197733576/must-watch-finales-scoop-on-your-favorite-shows "  Hawaii Five-0’s Season 7 finale is an extension of Episode 19, in which the team discovers a sex trafficking ring on the island. This installment will be more action-packed than the previous episode, but will also have a huge emotional impact on Kono (Grace Park). “It’s going to play into a bigger arc and a little bit of a cliffhanger for her at the end of this season, and something that she’s committed to seeing through,” showrunner Peter Lenkov tells TVGuide.com. “Because it’s not just something that’s happening on the island. It’s an epidemic that’s happening all over the country. So, she sort of takes on this cause singlehandedly, and is determined to find anybody who’s behind sex trafficking. It’s a little bit of a heavier story for us, but it’s a good journey for her and it’s great for us, because it’s real and it’s got a lot of weight behind it.” But will Kono’s commitment to the cause pull her away from Five-0? Anything’s possible.  " True link
alohaspaceman 160188540877 "2017-05-01 12:07:18 GMT" https://alohaspaceman.tumblr.com/post/160188540877/legos-next-masterpiece-is-a-nasa-apollo-saturn-v "iceageiscoming: " False link
alohaspaceman 160090144326 "2017-04-28 17:46:15 GMT" https://alohaspaceman.tumblr.com/post/160090144326/the-tale-of-the-dictators-daughter-and-her-prince "wilwheaton:  Sarah has been doing, and continues to do, very important work. Primarily, she is making it possible for Americans, who have always presumed a level of trust and competence in our government, to see and track the creeping normalization of the trump autocracy.   Adult children of authoritarians are useful in three ways: first, they tend to be trustworthy confidants in regimes rife with paranoia, as corrupt authoritarian states usually are. Second, they are excellent vessels for laundering money,  creating enough distance that assets stolen from the state are harder to track. Third, they tend to have a warmer public profile which offsets the brutality of the dictator by distracting the population with pictures of their happy families or glamorous lifestyle. For nearly two years, Jared and Ivanka have been peddled by the press as a “moderating influence” on her vulgar, bigoted father. They have done nothing to merit this characterization. When hate crimes rose in tandem with the Trump campaign, Ivanka and Jared were silent. When xenophobes like Michael Flynn – the former NSA head revealed to be a foreign agent – screeched tirades at the Republican National Convention, Ivanka and her siblings dutifully followed on stage. When Trump filled his cabinet with white supremacists like Steve Bannon, Nazis like Seb Gorka, and racists like Jeff Sessions, Ivanka and Jared did not distance themselves, but joined the team. This is not a “moderating influence”; this is complicity.  Take a minute to read this whole column, and please share it. " False link
alohaspaceman 159753156121 "2017-04-19 13:55:07 GMT" https://alohaspaceman.tumblr.com/post/159753156121/cbs-announces-end-of-season-storylines-for " FRIDAY, MAY 12 HAWAII FIVE-0 (9:00-10:00 PM) “Ua mau ke ea o ka ʻāina i ka pono” – McGarrett (Alex O’Loughlin) risks  his life when Five-0 attempts their most dangerous rescue yet of young  girls trapped in the sex trafficking ring they have been tracking this  year. Also, Kono (Grace Park), deeply affected by the case, makes a  life-changing decision. Season finale.  " True link
alohaspaceman 159728125731 "2017-04-18 20:57:28 GMT" https://alohaspaceman.tumblr.com/post/159728125731/daniel-dae-kim-fb-live-april-18th "Daniel Dae Kim did a FBLive to thanks his fans for the support. April 18th." True link
alohaspaceman 159646614512 "2017-04-16 18:42:54 GMT" https://alohaspaceman.tumblr.com/post/159646614512/pink-poison-the-surprising-new-trend-thats "rj4gui4r: lalna:  shewillpunchyouintheface:  fluffmugger:  1) Does not hurt rhinos 2) Discolours ivory (BRIGHT PINK) thus reducing saleability 3) Can be detected by airport scanners, even if ground up, thus increasing the chances you will be caught 4) Causes nausea, vomiting, and diarrhea if ingested by humans, thus driving away your customer base  Win. Win. Win. Win.   5) makes rhinos look adorable & fashionable  6) says “fuck you” to the patriarchy " False link
alohaspaceman 159575193766 "2017-04-14 19:47:27 GMT" https://alohaspaceman.tumblr.com/post/159575193766/hawaii-five-0-mega-buzz-why-was-mcgarrett-a "bookemfangirl: joannereads:  alohaspaceman:  szvms:  joannereads:  cowandcalf:  joannereads:  alohaspaceman:    All great love stories start with the moment two soulmates meet. And Hawaii Five-0 fans are about to find out what that looked like for McGarrett (Alex O'Loughlin) and Danny (Scott Caan).     An upcoming episode will tell, in flashbacks, the story of how the seeds were planted for Danny and McGarrett’s legendary bromance. And we’ll learn that their connection goes even deeper than we previously thought. As it turns out, Danny was having a pretty rough time adjusting to life in Hawaii in the weeks before he met one Steven J. McGarrett - and who knows where he’d be if he hadn’t joined Five-0?     “McGarrett coming into his life, despite what Danny will ever say, was the best thing that ever could have happened and came at the right moment,” showrunner Peter Lenkov tells TVGuide.com. “Danny was floundering a little bit as a cop. … McGarrett was his lifeline. You realize how much they need each other and how important they are in each other’s lives.”   by Liz Raftery on TvGuide  I just.I can’t. Hope is the greatest thing and also going to be totally dashed.I’m not sure I can watch anymore.😢  OH.MY.GOD. I need a minute…  Okay, so I’ve had more time to think about this and now I can write these thoughts coherently.The person writing the article states that Steve and Danny are soulmates, not Lenkov. The person writing the article states that they have an epic bromance, not Lenkov.Lenkov just states that they met when Danny needed a friend.I am not going to get my hopes up that it means anything else, because I think all we’re going to see is a really angry Danny, just like he was in the first season, and a patient Steve trying to help someone through it, DESPITE the fact that Steve really needed someone after the loss of Freddie and his Dad.So, no hope that this will mean anything as, if anything more significant had happened, they wouldn’t have spent the next seven years dating a range of women between them.What I am looking forward to is all the fix-it-fics, because we’re going to need them.  couldn’t agree more…  If I can add a thing: I don’t think Steve will be part of the flashbacks. It’s Danny’s last case as HPD so Steve is not even on the island (in theory). I think we are going to see how miserable was Danny (hating Hawaii, hating Rachel for keeping Grace from him, hating his collegues cause they disrespect him for being a haole). I hope in some kind of convo/reflection from Danny saying that Steve couldn’t have a better timing or something like that. I don’t think it’s going to be a heavy mcdanno episode nor that they will give us something big.  Anyway I do love the idea of some background info about Danny, from the bts there’s a good chance of having some good bamf moment too.   I agree. Sometimes I wish we didn’t get spoilers or trailers or BTS stuff because I am too weak willed to ignore it but it makes me all anxious and worried.I need to develop some self control I think!  Am I the only one who really hopes to see Meka? I mean, considering everything, Danny and Mekka really seemed to like each other. He seemed to have been the only good thing on the island back then.  @bookemfangirl he is going to be there, on the ep’s press release Ramon De Ocampo is listed as guest star playing Meka" False link
