leohearts 118793842200 "2015-05-12 17:55:39 GMT" http://leohearts.tumblr.com/post/118793842200/reblog-if-your-mom-is-beautiful  True text
leohearts 78134520709 "2014-02-28 20:38:26 GMT" http://leohearts.tumblr.com/post/78134520709/your-name "I wrote your name in the sky,but the wind blew it away.I wrote your name in the sand,but the waves washed it away.I wrote your name in my heart,and forever it will stay.By Jessica Blade " True text
leohearts 78133075329 "2014-02-28 20:21:58 GMT" http://leohearts.tumblr.com/post/78133075329/pledge-of-love "I’ve made a vow, to no one but youI pledge my love to forever be trueI’ll take care of you and treat you rightI’ll lay beside you all through the nightI’ll feed you and clothe you and keep you warmI’ll hug you and kiss you and give shelter in the stormI’ll help you and guide you and clear a pathI’ll protect you and shield you from an angry man’s wrathI’ll listen to your problems help you solve them tooI’ll make you a rainbow and let the sun shine throughI’ll take your side even if you’re wrongJust to prove our love is strongI’ll plant you flowers and make them growThey’ll be a symbol of love that only we’ll knowI’ll whisper your name when no one is nearSo low that only you can hearYou’ll feel my love even if we’re apartYou’ll know that we are one in heart By Vesta Sikora" True text
leohearts 78132735092 "2014-02-28 20:18:00 GMT" http://leohearts.tumblr.com/post/78132735092/a-love-for-all-time "Breathless kisses Burning touchesSoft-spoken words of loveUrgently spoken words of passion.A man and a womanOne complete loveSince time beganPredestined to be as one.We’ve been together beforeIn other lifetimesWe’ve fought dragonsAnd have been torn from each others armsYet our love prevailed.We’ve walked on this earth many times togetherPerhaps for a momentPerhaps for yearsBut our heart is one heartAnd we were meant to be.So when our time on earthOnce again comes to a closeHave no worries my dearFor we will find each other againAnd againAnd again.For our love is agelessEternalA love for all time. By Dawn Choike" True text
leohearts 78044126996 "2014-02-27 22:20:34 GMT" http://leohearts.tumblr.com/post/78044126996/when-i-was-16-i-had-a-fake-id-and-decided-to-go "sexual-phan:  hunter-avenger-consulter-grimm:  jawnn-locked:  visiovisusvidere:  sonicghost:  milesjai:  videk:  welcome-to-the-sinners-ball:  imgayitsok:    God bless drag queens.  I will always reblog this  Whenever drag queens are present, you best believe they will save the fuckin day.  Oh fuck yes.    If this isn’t on your blog I’m judging you.  Every time a bell rings, a drag queen gets his wings.  God bless drag queen omg " False text
leohearts 77830092813 "2014-02-25 20:17:06 GMT" http://leohearts.tumblr.com/post/77830092813/nobody-can-see-when-you-are-falling-apart-inside  True text
leohearts 75613889189 "2014-02-04 20:32:48 GMT" http://leohearts.tumblr.com/post/75613889189/forgiveness "We all hold grudges against the people who have wronged us and find it difficult to forgive but it takes a person of real personality to forgive. If we learn to forgive more often we realise ourself from the pain and the burden. I’m not saying that forgiving someone makes everything ok or what they did was ok but I’m saying that we shouldn’t harm ourselves by holding on to it and causing ourself pain. That person doesn’t need to be a part of your life anymore which is why forgiving and letting go makes you feel a little less pained and maybe also means you can make peace with the pain that was caused. " True text
leohearts 75401921238 "2014-02-02 20:41:00 GMT" http://leohearts.tumblr.com/post/75401921238/our-wounds-our-scars "We have many wounds which leave many scars and each of those scars tells a story about our life. We have all been through something or another which left some-sort of mark that forever remains with us and those marks/scars then tells our story whatever that may be but the important thing is that we survived it and we are now moving on with our lives and accepting it and who we are. " True text
leohearts 74752297416 "2014-01-27 20:28:00 GMT" http://leohearts.tumblr.com/post/74752297416/who-loves-us-for-no-reason "To find someone who loves us for no reason at all and showers us with love everyday making us smile is amazing. It’s what we all want and what we all are looking for. It’s only a matter of time when one day that certain someone walks in our lives and says “hi I’m here and I’ve been looking for you, and you’ve been waiting for me” that day when it happens we finally learn why it never worked out with anyone else because they weren’t this beautiful person who’s standing in-front of us. We will in this life meet many beautiful and kind people, make lots of good friends, have many lovers and loves but possibly only one true soul mate, one true love who will look pass all our faults and imperfections, will look at us and instantly know how we are feeling and will always forgive our misdeeds and say “I still love you and will do so until my last breath”. The only thing left to do is to now find that person and start building our life with them but until that happens of course we can still walk through life writing our story and meeting new people and seeing where we end up." True text
leohearts 74301272298 "2014-01-23 19:46:45 GMT" http://leohearts.tumblr.com/post/74301272298/be-who-you-are "What you do and say will always matter and it’s up to you to realise that. You need to believe in yourself. Stand up tall and say this is who I am and I’m going to set an example. Your amazing the way you are, don’t change for anyone. " True text
leohearts 102112870085 "2014-11-08 19:24:30 GMT" http://leohearts.tumblr.com/post/102112870085/sublimity "human-gouges:  Three posts written after the loss of a sublime friendship in the most surreal and heart breaking manner.  Belief : https://medium.com/human-gouges/belief-e31f91262074   Trust : https://medium.com/human-gouges/trust-f00278289dc8   Caring : …  " False link
