1rapmon 161061928711 "2017-05-25 16:42:06 GMT" http://1rapmon.tumblr.com/post/161061928711/reblog-with-your-favourite-thing-about-namjoon-is  True text
1rapmon 161012903081 "2017-05-24 06:20:31 GMT" http://1rapmon.tumblr.com/post/161012903081/the-two-billion-songs-on-love-lexwrites-방탄소년단 "pinkbtsme: Author: lexwritesRelationships: Jung Hoseok | J-Hope/Min Yoongi | Suga, Kim Namjoon | Rap Monster/Kim Seokjin | Jin, Jeon Jungkook/Kim Taehyung | VSummary: “I’ve had an epiphany.”“And that is-”?“I’m in love with Jung Hoseok.” “That’s your epiphany? I could’ve told you that.”In which Yoongi is crazy about Jung Hoseok. The problem? Hoseok already has a boyfriend.Why read it? So, I finished reading this with a stupid smile plastered on my face I’m sure the whole train thought I was weird. SO SO SWEET!! this is mostly a yooncentric fic giving us a whipped Yoongi and his journey to glory. I loved the frat environment and the friendship!!!! specially sugamon <3 I wanna live in a frat." False link
1rapmon 160419154626 "2017-05-07 21:46:14 GMT" http://1rapmon.tumblr.com/post/160419154626/vianca-li-on-twitter "ladybekool:@1rapmon I saw this on twitter and thought about you ahaha NCT IN DA HOUSE WOUHHH" False link
1rapmon 160072598226 "2017-04-28 03:57:25 GMT" http://1rapmon.tumblr.com/post/160072598226/which-bts-member-are-you "kstopping:FIND OUT IN A SCIENTIFICALLY ACCURATE QUIZ" False link
1rapmon 159926113651 "2017-04-24 03:50:28 GMT" http://1rapmon.tumblr.com/post/159926113651/show-chapter-archive  True link
1rapmon 159280251176 "2017-04-06 22:49:52 GMT" http://1rapmon.tumblr.com/post/159280251176/singh-give-anonymous-feedback  True link
1rapmon 158779128886 "2017-03-24 15:41:00 GMT" http://1rapmon.tumblr.com/post/158779128886  True link
1rapmon 158405401346 "2017-03-14 20:13:36 GMT" http://1rapmon.tumblr.com/post/158405401346/v-live-run-bts-2017-ep14 "allforbts:Run BTS! 2017 - EP.14" False link
1rapmon 158370080811 "2017-03-13 23:00:48 GMT" http://1rapmon.tumblr.com/post/158370080811/hey-did-you-know-that-you-can-buy-me-a-pretend "uziregar:  uziregar:  uziregar: it’s like a tip jar?? i am but a humble busker sitting by the roadside spinning my awkwardly erotic tales and you really don’t want your mom knowing that you hang out on my block but you still drop a couple bucks in the hat every once in a while i feel shitty about this but i actually could really use some help. this is a really easy way to give me a few dollars - a “coffee” is only $3 and if you want to give more you can, by upping the number of coffees. $3 isn’t a lot of money but if a bunch of people chip in $3 it builds up pretty fast. if even a quarter of my followers chip in the absolute minimum i’d be set for almost three months, and i’ll be spending everything on medical expenses and necessary survival living expenses. so if you read and enjoy my fic, or think i’m funny sometimes on tumblr, or derive amusement from my lack of understanding about the inner workings of twitter AND you have three bucks kicking around that isn’t reserved… well, i don’t know, it’s your money. but i selfishly hope that you’d decide to spend it on me and my continued ability to stay alive and like write and stuff. and if you could reblog? i have more user subscribers on ao3 than i have followers here which means i might have readers on tumblr that just don’t know that i’m here too, and they might want to know about it. TT_____TT thank you i’m updating yh1nm really soon and it’s a really big, happy chapter :)  i apologize for bringing this back but i went to the doctor on wednesday and will need a lot more tests that may not be very well covered by my insurance (ultrasounds, a sleep study, specialists) so again, if you have $3 and you’ve enjoyed my work - you have 1 new message, beta tau sigma, a wonderful institution, starcrossed, a midnight clear - please consider helping me out. the site hasn’t worked for everybody so if you’d prefer some other way of helping me out here’s my paypal link ><;;; i’m sorry " False link
1rapmon 157664662181 "2017-02-24 21:28:31 GMT" http://1rapmon.tumblr.com/post/157664662181/뮤직뱅크-music-bank-방탄소년단-not-today-bts-not  True link
1rapmon 151919602496 "2016-10-17 05:10:49 GMT" http://1rapmon.tumblr.com/post/151919602496/show-chapter-archive  True link
1rapmon 149652387201 "2016-08-29 14:27:54 GMT" http://1rapmon.tumblr.com/post/149652387201/madalina-itu "kimnomster: Guys it would mean so much to me if you click that link and give me a little heart ( in the bottom left of the screen I believe) . It would help me immensely  " False link
1rapmon 148987521761 "2016-08-15 16:57:28 GMT" http://1rapmon.tumblr.com/post/148987521761/lyrics-for-the-last-final-track-on-agust-ds "He talks about his mental health and how he’s been dealing with everything and I honestly want to cry he deserves all the love in the world" True link
1rapmon 148984743636 "2016-08-15 15:38:49 GMT" http://1rapmon.tumblr.com/post/148984743636/download-agust-d-mixtape "theyarebangtan:In need of downloading Suga aka Agust D’s mixtape? Click on the link to get it through mediafire. " False link
1rapmon 148545574901 "2016-08-06 15:27:32 GMT" http://1rapmon.tumblr.com/post/148545574901/things-you-said-at-1-am-lexwrites-방탄소년단 "Title : Things You Said at 1 AMPairing : Jeon Jungkook / Kim Taehyung | VRating : PWP, FluffSummary :12:54 AM is Taehyung on Jungkook’s lap, breath hot against his skin in the freezing cold.12:57 AM is messy kisses of teeth and tongue and promises of forever hanging off Jungkook’s tongue.12:59 AM is ‘I love you’s whispered into their skins and Jungkook wants to say more, but he isn’t eloquent until Taehyung is under him, moaning out Jungkook’s name like it’s the only word he’s ever known." True link
1rapmon 147733538661 "2016-07-21 04:55:44 GMT" http://1rapmon.tumblr.com/post/147733538661/in-case-you-want-to-send-in-something-for-your "In case you want to send in something for your beloved joonie’s birthday!" True link
1rapmon 147532485671 "2016-07-17 07:40:55 GMT" http://1rapmon.tumblr.com/post/147532485671/madalina-is-creating-fanart-art-patreon "kimnomster:  For anyone out there who can and wants to support me, I made a Patreon account in which you can become my patron for as little as 1$. For each patron I get I will do another special design/art!! I am not really one to ask for money but I really am in a bad situation and I need as much support as I can get, If you can’t donate to me that is ok anyway, as long as you appreciate my efforts I will be happy.  " False link
1rapmon 146938003216 "2016-07-05 09:11:50 GMT" http://1rapmon.tumblr.com/post/146938003216/2016-spellbound-halloween-fic-exchange "bulletproof-bad-wolf: *GASP*IT’S HERE.Well. Almost.@ronthany @thehalesnyx @poshcy @sugodemic @karilando777 @dirtyretrowrites @bagelswrites @cockersmutial @thesource1352 @uziregar @kwon-ji-yongie @starscall @ienveeus @mnsg @mirrerover @duchesscass @writersrepublic @yugainotenshi @lulublu1014 @mini-yngi @allmostblueWhew. That’s a lotta tags. I just grabbed the first bowlful I saw, so hopefully it’ll cover some ground! Come follow and let’s talk about this thing x" False link
1rapmon 145388818461 "2016-06-04 04:54:06 GMT" http://1rapmon.tumblr.com/post/145388818461/bts-gang-au "Please read this fanfic series! It’s literally my absolute favourite bts fanfic series. And you being one of my favourite yoonseok tumblr blogs i just really wanted to share it with you!  Digital hugs from meeee" True link
1rapmon 145209105671 "2016-05-31 15:34:22 GMT" http://1rapmon.tumblr.com/post/145209105671/알아요-by-rm-jk "I AM DEAD THEIR VOICES ARE SO GOOD TOGETHER ;_;" True link
1rapmon 144353764246 "2016-05-14 17:21:27 GMT" http://1rapmon.tumblr.com/post/144353764246/the-two-billion-songs-on-love-lexwrites-방탄소년단 "marsficrec: “I’ve hand an epiphany.”  “And that is-?” “I’m in love with Jung Hoseok.” “That’s your epiphany? I could’ve told you that.” In which Yoongi is crazy about Jung Hoseok. The problem? Hoseok already has a boyfriend. " False link
