phan-band-fandoms 161083215374 "2017-05-26 04:54:06 GMT" https://phan-band-fandoms.tumblr.com/post/161083215374/roses-are-red-im-going-to-bed  True text
phan-band-fandoms 161071300818 "2017-05-25 22:01:21 GMT" https://phan-band-fandoms.tumblr.com/post/161071300818/novaks-castiel-is-so-good-and-deserves-so-much "novaks: castiel is so good and deserves so much and is literally the best character ever and i love him more than anything" False text
phan-band-fandoms 161067621884 "2017-05-25 20:04:24 GMT" https://phan-band-fandoms.tumblr.com/post/161067621884/what-if-dean-told-cas-that-he-loves-him-while-the "What if Dean told Cas that he loves him while the camera pov was on Sam and Jack" True text
phan-band-fandoms 161067166484 "2017-05-25 19:50:21 GMT" https://phan-band-fandoms.tumblr.com/post/161067166484/super-nap-cen-tural-phan-band-fandoms-what "super-nap-cen-tural: phan-band-fandoms: What if Cas heard Dean yelling, “NO,” and it was the last thing he heard before he didn’t hear anything at all " False text
phan-band-fandoms 161067136479 "2017-05-25 19:49:19 GMT" https://phan-band-fandoms.tumblr.com/post/161067136479/what-if-cas-life-flashed-before-his-eyes-but-it "What if Cas’ life flashed before his eyes, but it wasn’t of the things he did throughout history; what if instead it was from the exact moment he met Dean to the last moment he saw Dean" True text
phan-band-fandoms 161067018674 "2017-05-25 19:45:23 GMT" https://phan-band-fandoms.tumblr.com/post/161067018674/what-if-cas-heard-dean-yelling-no-and-it-was "What if Cas heard Dean yelling, “NO,” and it was the last thing he heard before he didn’t hear anything at all" True text
phan-band-fandoms 161065656494 "2017-05-25 18:58:56 GMT" https://phan-band-fandoms.tumblr.com/post/161065656494/reblog-if-you-support-mark-sheppard  True text
phan-band-fandoms 161065521209 "2017-05-25 18:53:56 GMT" https://phan-band-fandoms.tumblr.com/post/161065521209/rachelhaimowitz-hazeldomain-exasperation "rachelhaimowitz:  hazeldomain: Exasperation turns to something like pity as another crossroads demon tries to explain that it’s not a matter of payoff time, they just don’t have that kind of power.   #eventually they don’t even show up #they get the summons and they just call Sam #your brother’s drunk again #come get him (via @hazeldomain) " False text
phan-band-fandoms 161065289854 "2017-05-25 18:45:42 GMT" https://phan-band-fandoms.tumblr.com/post/161065289854/alittlebitofanna-domesticadventures-lift-up "alittlebitofanna: domesticadventures: lift up your hearts.   12x23 coda.  deancas. (ao3)  Castiel wakes in darkness. He reaches for his grace to find that it’s gone, but his hands are still there, so he reaches out with those, instead. He claws his way up and out of the cold and damp and crushing weight, holding his breath, chest aching. As soon as he breaks the surface, he lies there, still half buried, and gasps in lungful after lungful of cold, fresh air. It’s only when his breathing finally calms that he pulls himself the rest of the way out of the ground. He tries to stand but winds up falling to all fours, fabric of his damp clothes chafing against his knees, his elbows. He settles for kneeling, instead, as he tries in vain to shake the sand from his hair and clothes, wipe it from his skin. As the sun finally peeks over the mountains, he twists his head, looks over his shoulder. They buried him where he fell. In the early morning light, he can make out the shape of his own damaged wings seared onto the ground, stretching out on either side of where he lay. There is no cross marking his grave, no cairn, just a small circle of carefully placed rocks and a pair of familiar bootprints not yet washed away by the elements. Castiel turns back around. He rises slowly to his feet and stumbles into the house. Weiterlesen @phan-band-fandoms I need this for my sanity" False text
phan-band-fandoms 161064744779 "2017-05-25 18:25:53 GMT" https://phan-band-fandoms.tumblr.com/post/161064744779/urbanoutfucks-my-favorite-part-of-concerts-is "urbanoutfucks: my favorite part of concerts is when the band plays a song everyone knows so everyone’s singing along all out of tune but then the singer stops singing and they point the mic at the crowd and u just hear everyone in the crowd singing the words to the music and u see the smiles on the band members’ faces bc they know people care about their music and everyone’s just so happy who cares about anything else " False text
phan-band-fandoms 161082517079 "2017-05-26 04:29:38 GMT" https://phan-band-fandoms.tumblr.com/post/161082517079/poll-should-richmond-remove-its-confederate "doublebubble-discx-queen: breelandwalker:  greenekangaroo:  butch-telkhine:  survivablyso:  festeringfae:  PLEASE VOTE TO HELP GET RID OF RACIST STATUES IN A BLACK TOWN! Richmond, Virginia was the capital of the Confederacy aka the side that defended slavery in the American civil war. During segregation, all these disgusting statues honoring slave-owning traitors were put up to look down on all of us like “remember, white supremacy!” on a street that’s always been predominately black. OUR LOCAL NEWSPAPER IS VERY CONSERVATIVE, AND THEY’RE HOSTING A POLL ON WHETHER THE MONUMENTS SHOULD BE TAKEN DOWN. RIGHT NOW, THE RACISTS ARE VERY AHEAD.  PLEASE VOTE IN THIS POLL! This is THE newspaper in the city, it has a HUGE impact on swaying local government. PLEASE HELP GET THESE RACIST STATUES OUT OF A BLACK TOWN!  NO is winning by a long stretch. FUCK THAT  No is about 4000 votes ahead rn please take 2 seconds to vote YESin favor of tearing down monuments built to glorify white supremacy. You dont have to enter any personal information or anything, just vote and hit submit.  it’s super quick to vote and we’re 200 behind on ‘yes’ right now.  If you’re feeling conflicted and ‘but US history!’ is bouncing around in your head, remember:  The confederates were not americans.  They wanted to form their own country where they could keep owning people. They Were. Not. American. This is their history and they lost and they need to continue to lose if we are ever going to go forward.   Reblogging as a Virginian who is 100% on board with removing these statues.  I’m a Virginian. Get these the hell out of here. Guys, the NO’s are winning!!??? VOTE" False link
phan-band-fandoms 160776433889 "2017-05-17 19:32:32 GMT" https://phan-band-fandoms.tumblr.com/post/160776433889/my-theories-on-the-12x22-12x23-previewtrailer "phan-band-fandoms: This ended up being really long, so buckle down. @adages-of-team-free-will I’ve heard! I figured out that a lot of them would be different when I saw a couple posts about 12x21. I’ve been holding it off because of you know what, but I’ll watch it sooner or later" False link
phan-band-fandoms 160629112549 "2017-05-13 19:31:20 GMT" https://phan-band-fandoms.tumblr.com/post/160629112549/my-theories-on-the-12x22-12x23-previewtrailer "phan-band-fandoms: This ended up being really long, so buckle down. @pretttypadalecki I KNOW OMG WHAT IF THAT’S WHY DEAN IS CRYING I’M GLAD I CAUGHT THAT PART" False link
phan-band-fandoms 160626313484 "2017-05-13 17:54:40 GMT" https://phan-band-fandoms.tumblr.com/post/160626313484/my-theories-on-the-12x22-12x23-previewtrailer "This ended up being really long, so buckle down." True link
phan-band-fandoms 160017853169 "2017-04-26 17:06:51 GMT" https://phan-band-fandoms.tumblr.com/post/160017853169/supernatural-on-twitter "tinkdw: “No bars? No bars” I’m screaming.  @pretttypadalecki ahsbeuwj" False link
phan-band-fandoms 159378949069 "2017-04-09 16:27:17 GMT" https://phan-band-fandoms.tumblr.com/post/159378949069/supernatural-cast-david-haydn-jones-discusses "attackdogcas: attackdogcas:  phan-band-fandoms:  cornerbackcastiel:  Some of the interesting parts:  On action justification:   “I DON’T think he justifies his actions at all. He was a child, most likely with a borderline personality disorder that was exploited, conditioned and trained to be the sociopath killer, as we see him today. He clearly has very primal, hunter urges and that is what partially helps create his sadistic pleasure. Also, he has been indoctrinated by a very dogmatic organization that orders him with military precision without question.”   On The British Invasion (12x17):   “Oh boy! When I got the script I was as shocked as the viewers seemed to be. I was like, ‘Holy Moly. They are going to HATE me.’ As to the ‘romance’ part, which is putting it very diplomatically, if you go back to previous episodes you’ll see little subtextual hints that I tried to lay in as part of Ketch’s seduction. I was so happy to see in this script that it finally happened, and my ground game, so to speak, paid off. Ketch is a very sexual guy, but I don’t think he has the most mainstream appetites. I’ll leave the rest to Tumblr, haha. BUT, I will say I am happy to hear the audience picked up on just a wee crack of emotional vulnerability I tried to build in there. Excited to see how that plays out in future episodes.”   About what’s next:   “I can definitely, 100 percent, unequivocally NOT give you any hints as to what’s next! I will say, however, if you thought you were mad at Ketch before, oh boy, you ain’t seen nothing yet.” David’s tweet about interview  @pretttypadalecki welp “You ain’t seen nothing yet”  Excuse me while I scream into my pillow  @phan-band-fandoms honestly though!!! I really hope Dean is the one to kill him. I am high key bitter about Mick. Like why’d you make me fall in love with him if you were gonna kill him that very episode ! It wasn’t even a Charlie or Kevin death where their arc spanned like a good couple of seasons no, like I really sympathized with him within 80 minutes and then just… 😠 @attackdogcas I really REALLY  hope that Dean is the one to kill him because I feel like they (him and Mick) were finally starting to get along and shit. I’d be fine if Sam did, but I really want Dean to because of the connection that he and Ketch have. Plus, after Dean figures out that Ketch slept with his fucking mom , I feel like Dean would confront him about it and shit (with Sam there too, of course). I was just starting to like Mick too!!! Like wtf" False link
phan-band-fandoms 159358520474 "2017-04-09 02:15:59 GMT" https://phan-band-fandoms.tumblr.com/post/159358520474/supernatural-cast-david-haydn-jones-discusses "cornerbackcastiel: Some of the interesting parts:  On action justification:   “I DON’T think he justifies his actions at all. He was a child, most likely with a borderline personality disorder that was exploited, conditioned and trained to be the sociopath killer, as we see him today. He clearly has very primal, hunter urges and that is what partially helps create his sadistic pleasure. Also, he has been indoctrinated by a very dogmatic organization that orders him with military precision without question.”   On The British Invasion (12x17):   “Oh boy! When I got the script I was as shocked as the viewers seemed to be. I was like, ‘Holy Moly. They are going to HATE me.’ As to the ‘romance’ part, which is putting it very diplomatically, if you go back to previous episodes you’ll see little subtextual hints that I tried to lay in as part of Ketch’s seduction. I was so happy to see in this script that it finally happened, and my ground game, so to speak, paid off. Ketch is a very sexual guy, but I don’t think he has the most mainstream appetites. I’ll leave the rest to Tumblr, haha. BUT, I will say I am happy to hear the audience picked up on just a wee crack of emotional vulnerability I tried to build in there. Excited to see how that plays out in future episodes.”   About what’s next:   “I can definitely, 100 percent, unequivocally NOT give you any hints as to what’s next! I will say, however, if you thought you were mad at Ketch before, oh boy, you ain’t seen nothing yet.” David’s tweet about interview  @pretttypadalecki welp" False link
phan-band-fandoms 159338242959 "2017-04-08 14:36:24 GMT" https://phan-band-fandoms.tumblr.com/post/159338242959/free-online-gender-quiz "kiarraisinvisible:  dosendumbledore:  ixcaliber:  schazardous:  shacklesburst:  defectivealtruist:  rubegoldbergsaciddreams: please everyone take this quiz it’s so important my gender is VENDING MACHINE  Your gender is: THE ANGEL RAMIEL FROM NEON GENESIS EVANGELION    Your gender is: UNDER CONSTRUCTION     Your gender is not yet finished! They’re still working on it – check back in a bit.    my gender is RAMIEL holy shit thanks this quiz  Tubbs from Neko Atsume  My gender is the inky void between the stars " False link
phan-band-fandoms 159044137719 "2017-03-31 18:06:37 GMT" https://phan-band-fandoms.tumblr.com/post/159044137719/doctor-who-gets-first-openly-gay-companion-bbc "whovianfeminism: BILL POTTS IS GOING TO BE OPENLY GAY AND I’M CRYING. I can’t even begin to tell you how incredibly amazing, affirming, and wonderful this is. I’m so happy. " False link
phan-band-fandoms 158803343754 "2017-03-25 05:51:32 GMT" https://phan-band-fandoms.tumblr.com/post/158803343754/emotional-and-rational-introverts-and-extroverts "finding-doris: mint-vest:  exactlystrangelady:  psych2go: Reblog with your score and we will reblog from you. I got “Emotional Introvert”  emotional introvert  Rational introvert, and I can confirm that this is super accurate " False link
phan-band-fandoms 158454179904 "2017-03-16 00:00:30 GMT" https://phan-band-fandoms.tumblr.com/post/158454179904/a-revolutionary-surgery-could-finally-let-trans "amuseoffyre: anonymousnerdgirl:  whipsticka:  janes-nature-garden: is it bad that I want to become pregnant one day  “A clinic in Ohio recently started screening women for the ground-breaking procedure, which would allow women to transplant their uterus into a woman who doesn’t have one. The transplant could be conducted on a woman ‘born without a uterus, or who had it removed or have uterine damage’ – this would make trans women eligible for the procedure. A 26-year-old woman who is undergoing the screening process told The Times: ‘I crave that experience. ‘I want the morning sickness, the backaches, the feet swelling. I want to feel the baby move. That is something I’ve wanted for as long as I can remember.’ Dr Christine McGinn, a plastic surgeon, told Yahoo News: ‘The human drive to be a mother for a woman is a very serious thing. ‘Transgender women are no different.’”  Medical miracle.  I’d donate mine :) I’m not using it. " False link
phan-band-fandoms 158210625199 "2017-03-10 01:07:42 GMT" https://phan-band-fandoms.tumblr.com/post/158210625199/zimbio-tv-couples-march-madness-challenge-2017 "ldrmas: ldrmas:  gO VOTE PLEASE GO VOTE ALL OVER  DESTIEL IS LOSING AND ROUND TWO IS ALMOST OVER LETS AT LEAST GET TO ROUND THREE  PLZ!!  @crossroadsangelcastiel @irensupernatural @bluestar86 @blue-reveries @bibibideanbaby @destiel-smut-motherfuckers @kinkydeancas @iniquitysoneoftheperks @jimminovak @motherofcas @mittensmorgul @mishcollins @pooffa @reallifecas @reallyelegantsharkfish  you guys are the biggest destiel people i know!! Destiel is losing and we only have two hrs to change that, so please reblogg to all the destiel people out there!!" False link
phan-band-fandoms 157871867579 "2017-03-01 19:33:34 GMT" https://phan-band-fandoms.tumblr.com/post/157871867579/cole-sprouse-says-keeping-jughead-asexual-is "itgetsbetterproject: Cole Sprouse plays Jughead Jones in the CW’s upcoming Riverdale, a new show reimagining the Archie comic series. Based on the character’s repeated, emphasized disinterest in girls, Jughead has been the focal point of much speculation regarding his sexuality over the course of the comics’ eight decades of publication. As recently as last year, the characters was revealed to be canonically asexual. With the aging comics’ relevance revitalized via the CW’s Riverdale, many fans are wondering just how much the underrepresented sexuality (or rather, absence of) would be specifically emphasized. And there’s no greater advocate than the character’s actor himself. “I hope that huge corporations like the CW recognize that this kind of representation is rare and severely important to people who resonate with it,” Sprouse tells Teen Vogue, “That demands representation. It would be a wonderful thing if that were the case.” Sprouse does reveal that the first season of Riverdale will not directly touch on asexuality; however, he does call the show an origin story, where the characters will learn, grow, and discover who they are. In the meantime, Sprouse says he will “keep fighting for this pretty heavily.” Riverdale airs Thursdays at 9 on the CW. " False link
phan-band-fandoms 157169908339 "2017-02-13 01:09:46 GMT" https://phan-band-fandoms.tumblr.com/post/157169908339/box-office-lego-batman-movie-tops-fifty-shades  True link
phan-band-fandoms 156650864138 "2017-02-01 02:01:03 GMT" https://phan-band-fandoms.tumblr.com/post/156650864138/are-you-depressed-psych2gonet "captainycul:Really interesting quiz." False link
phan-band-fandoms 156376437704 "2017-01-26 00:39:03 GMT" https://phan-band-fandoms.tumblr.com/post/156376437704/there-is-a-child-suicide-epidemic-in-canada-why "allthecanadianpolitics: On Saturday at the Women’s March in Toronto, the mood was jubilant. There were dozens of causes and concerns represented — reproductive choice, sexual violence, income inequality, Idle No More, trans rights, solidarity with immigrants and refugees, Black Lives Matter, environmental protection — but everyone seemed united in a common purpose. One of the speakers on the dias yelled out over the crowd of 60,000: “I have all the feminist feels!”The gathering included veteran activists and protest virgins; people of every background, gender and orientation. There was a large contingent of men and boys, but mostly it was women and girls, bright in pink hats and scarves, hopeful about the possibility of change, filling the grounds at Queen’s Park and spilling onto University Avenue.But it was two girls who weren’t present who were on my mind all day. Two girls who had recently passed away, gone, in part, because they’d lost their sense of hope. Jolynn Winter committed suicide on January 8, and two days later her friend Chantel Fox did the same. Both girls were just 12 years old and lived in Wapekeka First Nation, in northern Ontario. Wapekeka has a population of about 400 and the only access in or out is by plane. The nearest medical care centres are in Sioux Lookout and Thunder Bay — 450 km and 600 km away, respectively. Last summer, adults learned that a number of children had created a suicide pact and they immediately asked Health Canada to fund local suicide prevention services. The request was denied. It was an “awkward time” in the funding cycle, a rep at Health Canada said.The children didn’t get help and the problem didn’t go away. On Facebook, shortly before her death, Jolynn posted a status update that read: “Wake up, pretend I’m okay, sleep.” Since Jolynn and Chantel died, four other girls have been flown out of Wapekeka for psychological care. Another 26 children are still thought to be at a high risk for killing themselves.This is just the latest chapter in Wapekeka’s struggles. In the 1970s and ’80s, an Anglican minister and Boy Scout leader named Ralph Rowe sexually assaulted more than 500 indigenous boys in Northern Ontario, many from Wapekeka. Two years ago, the sole elementary school in Wapekeka burned down. There is no high school; in grade nine, children have to move away in order to get an education.The trauma of residential schools has been passed down through generations; schools and health care don’t get decent funding; languages have been lost; a succession of governments have been negligent or outright hostile. The conditions that set in motion the mental health crisis in Wapekeka can be seen in other First Nations all across Canada.Continue Reading." False link
phan-band-fandoms 155093822274 "2016-12-29 00:59:43 GMT" https://phan-band-fandoms.tumblr.com/post/155093822274/debbie-reynolds-carrie-fishers-mother "queen-nefertitibastet: ?????????????????????????????????????????????????WTF" False link
phan-band-fandoms 153502367754 "2016-11-22 04:13:19 GMT" https://phan-band-fandoms.tumblr.com/post/153502367754/phan-band-fandoms-go-follow-me-on-twitter "phan-band-fandoms: Go follow me on Twitter!!!!" False link
phan-band-fandoms 153487851494 "2016-11-21 21:33:22 GMT" https://phan-band-fandoms.tumblr.com/post/153487851494/go-follow-me-on-twitter "Go follow me on Twitter!!!!" True link
phan-band-fandoms 153317282799 "2016-11-17 22:18:42 GMT" https://phan-band-fandoms.tumblr.com/post/153317282799/this-story-should-dominate-the-news-until-trump-is "theriotmag: Russian intelligence was in touch with Trump THROUGHOUT HIS ENTIRE CAMPAIGN.  This is a monumental story, and it deserves a full airing before we  swear this guy in. And it’s only part of the unprecedented tangle of  shadowy business dealings that will follow him into office. The  president-elect also is the defendant in 75 different lawsuits of  assorted kinds. He plans to put his assets into a “blind trust” that  will be overseen by…his children (RIOT NOTE: his children who were named members of his transition team into the White House…fucking what?). I know a lot of people are charmed by  his reluctance to abide by traditional political norms and customs, but  this is far beyond that. This is a guy toting a huge amount of baggage  into the Oval Office and each piece of it contains a ticking time-bomb.   " False link
